lambda n k
513e-9 1.33997 0.14869
514e-9 1.33598 0.15124
515e-9 1.33196 0.15385
516e-9 1.3279 0.15656
517e-9 1.3238 0.1594
518e-9 1.31968 0.16232
519e-9 1.31551 0.16538
520e-9 1.31131 0.16856
521e-9 1.30709 0.17181
522e-9 1.30284 0.17521
523e-9 1.29857 0.17869
524e-9 1.29428 0.18225
525e-9 1.28999 0.18592
526e-9 1.28569 0.18966
527e-9 1.28138 0.19348
528e-9 1.27708 0.19739
529e-9 1.27278 0.20134
530e-9 1.2685 0.20539
531e-9 1.26422 0.20949
532e-9 1.25996 0.21366
533e-9 1.25571 0.21796
534e-9 1.25146 0.22232
535e-9 1.24724 0.2268
536e-9 1.24303 0.23143
537e-9 1.23883 0.23613
538e-9 1.23465 0.24103
539e-9 1.23049 0.24606
540e-9 1.22635 0.2512
541e-9 1.22224 0.25659
542e-9 1.21815 0.2621
543e-9 1.21409 0.26779
544e-9 1.21008 0.27369
545e-9 1.2061 0.27972
546e-9 1.20219 0.28599
547e-9 1.19834 0.29242
548e-9 1.19454 0.29899
549e-9 1.19086 0.30584
550e-9 1.18723 0.31281
551e-9 1.18369 0.31997
552e-9 1.18028 0.32736
553e-9 1.17693 0.33487
554e-9 1.17374 0.34262
555e-9 1.17066 0.35053
556e-9 1.16766 0.35855
557e-9 1.16489 0.36681
558e-9 1.16223 0.37516
559e-9 1.1597 0.38363
560e-9 1.1574 0.39224
561e-9 1.15521 0.40092
562e-9 1.15323 0.40972
563e-9 1.15145 0.41858
564e-9 1.14978 0.42749
565e-9 1.14842 0.43647
566e-9 1.14719 0.44547
567e-9 1.14614 0.4545
568e-9 1.14535 0.46355
569e-9 1.14467 0.4726
570e-9 1.14418 0.48164
571e-9 1.14385 0.49066
572e-9 1.14361 0.49966
573e-9 1.14356 0.50862
574e-9 1.14358 0.51755
575e-9 1.14369 0.52643
576e-9 1.14392 0.53524
577e-9 1.14419 0.54402
578e-9 1.14454 0.55272
579e-9 1.14493 0.56134
580e-9 1.14535 0.56991
581e-9 1.14582 0.57841
582e-9 1.14631 0.58689
583e-9 1.14683 0.59536
584e-9 1.1474 0.60388
585e-9 1.148 0.61245
586e-9 1.14864 0.6211
587e-9 1.14934 0.6299
588e-9 1.15007 0.63879
589e-9 1.15088 0.64789
590e-9 1.15174 0.65718
591e-9 1.15265 0.6666
592e-9 1.15367 0.67639
593e-9 1.15475 0.68635
594e-9 1.15591 0.69656
595e-9 1.15722 0.70713
596e-9 1.15863 0.71787
597e-9 1.16027 0.72892
598e-9 1.16215 0.74021
599e-9 1.16418 0.75164
600e-9 1.16668 0.76339
601e-9 1.16942 0.77527
602e-9 1.17246 0.78731
603e-9 1.17604 0.79956
604e-9 1.17989 0.8119
605e-9 1.18424 0.82438
606e-9 1.18909 0.83697
607e-9 1.19424 0.84962
608e-9 1.20011 0.86238
609e-9 1.20638 0.87516
610e-9 1.21306 0.88798
611e-9 1.22046 0.90071
612e-9 1.22817 0.91337
613e-9 1.2364 0.92587
614e-9 1.24516 0.93812
615e-9 1.25421 0.95021
616e-9 1.26387 0.9619
617e-9 1.27388 0.97328
618e-9 1.28419 0.98441
619e-9 1.29511 0.99492
620e-9 1.30627 1.00513
621e-9 1.31782 1.01489
622e-9 1.32981 1.02402
623e-9 1.34203 1.03282
624e-9 1.35471 1.04092
625e-9 1.36766 1.0485
626e-9 1.38081 1.05573
627e-9 1.39427 1.06212
628e-9 1.40779 1.06818
629e-9 1.42141 1.07378
630e-9 1.43502 1.07875
631e-9 1.44861 1.08342
632e-9 1.4621 1.08754
633e-9 1.47542 1.0912
634e-9 1.48864 1.09458
635e-9 1.50151 1.09732
636e-9 1.51417 1.09976
637e-9 1.52658 1.10184
638e-9 1.53848 1.10337
639e-9 1.55013 1.10463
640e-9 1.56131 1.10544
641e-9 1.57198 1.10584
642e-9 1.58236 1.10601
643e-9 1.59211 1.10581
644e-9 1.60151 1.10549
645e-9 1.61059 1.10505
646e-9 1.61907 1.10456
647e-9 1.62729 1.10411
648e-9 1.63511 1.10374
649e-9 1.64247 1.10358
650e-9 1.64959 1.10355
651e-9 1.65622 1.10389
652e-9 1.66253 1.10458
653e-9 1.66859 1.1055
654e-9 1.67411 1.10715
655e-9 1.6794 1.10916
656e-9 1.68437 1.11168
657e-9 1.68892 1.11502
658e-9 1.69327 1.1188
659e-9 1.69728 1.1234
660e-9 1.7012 1.12867
661e-9 1.70507 1.13435
662e-9 1.70908 1.14096
663e-9 1.71329 1.14798
664e-9 1.71774 1.15549
665e-9 1.72279 1.16372
666e-9 1.72821 1.17228
667e-9 1.73431 1.18137
668e-9 1.74124 1.19095
669e-9 1.74869 1.2008
670e-9 1.75738 1.21119
671e-9 1.76691 1.22186
672e-9 1.77721 1.23278
673e-9 1.78916 1.24414
674e-9 1.8019 1.25566
675e-9 1.81589 1.26745
676e-9 1.83143 1.27946
677e-9 1.84779 1.29156
678e-9 1.86574 1.30369
679e-9 1.88468 1.31563
680e-9 1.90432 1.32743
681e-9 1.92543 1.33858
682e-9 1.94707 1.34934
683e-9 1.96947 1.35954
684e-9 1.99277 1.36874
685e-9 2.01649 1.37739
686e-9 2.04093 1.38494
687e-9 2.0659 1.39141
688e-9 2.09119 1.39718
689e-9 2.11714 1.40123
690e-9 2.14337 1.4043
691e-9 2.16992 1.40632
692e-9 2.19693 1.40639
693e-9 2.22415 1.40552
694e-9 2.25171 1.40303
695e-9 2.27957 1.39878
696e-9 2.3076 1.39352
697e-9 2.33587 1.38623
698e-9 2.36419 1.37777
699e-9 2.39252 1.36835
700e-9 2.42071 1.35711
701e-9 2.44876 1.34514
702e-9 2.47659 1.33209
703e-9 2.50398 1.31781
704e-9 2.5311 1.30292
705e-9 2.55764 1.28688
706e-9 2.58361 1.27003
707e-9 2.60919 1.25264
708e-9 2.63372 1.23406
709e-9 2.65769 1.21497
710e-9 2.68097 1.19524
711e-9 2.70303 1.17458
712e-9 2.72447 1.15346
713e-9 2.74476 1.13158
714e-9 2.76388 1.10899
715e-9 2.78226 1.08598
716e-9 2.79899 1.06205
717e-9 2.81478 1.03766
718e-9 2.8297 1.01283
719e-9 2.84301 0.98733
720e-9 2.85563 0.96158
721e-9 2.86718 0.93546
722e-9 2.87754 0.90903
723e-9 2.88724 0.88246
724e-9 2.89569 0.85567
725e-9 2.90326 0.82883
726e-9 2.91021 0.80194
727e-9 2.91571 0.77509
728e-9 2.92059 0.74832
729e-9 2.92463 0.72166
730e-9 2.92746 0.69527
731e-9 2.92968 0.66905
732e-9 2.93082 0.64318
733e-9 2.93096 0.61771
734e-9 2.93049 0.59251
735e-9 2.92863 0.56798
736e-9 2.926 0.54388
737e-9 2.9226 0.52022
738e-9 2.91778 0.49744
739e-9 2.91235 0.47504
740e-9 2.90597 0.45327
741e-9 2.89862 0.43217
742e-9 2.89075 0.41143
743e-9 2.8819 0.39142
744e-9 2.87245 0.37189
745e-9 2.86257 0.35272
746e-9 2.85179 0.33437
747e-9 2.84068 0.31637
748e-9 2.82912 0.29885
749e-9 2.81703 0.28201
750e-9 2.8047 0.26552
751e-9 2.79199 0.24966
752e-9 2.77902 0.23435
753e-9 2.76591 0.2194
754e-9 2.75257 0.20524
755e-9 2.73917 0.19152
756e-9 2.72571 0.17825
757e-9 2.71227 0.16581
758e-9 2.69889 0.15376
759e-9 2.68561 0.14234
760e-9 2.67254 0.13165
761e-9 2.6596 0.12136
762e-9 2.64693 0.11188
763e-9 2.63445 0.10293
764e-9 2.6221 0.09435
765e-9 2.61006 0.08664
766e-9 2.59816 0.07927
767e-9 2.58643 0.07237
768e-9 2.57495 0.0661
769e-9 2.5636 0.06014
770e-9 2.55248 0.05471
771e-9 2.54155 0.04971
772e-9 2.53076 0.04499
773e-9 2.52023 0.04081
774e-9 2.50986 0.03691
775e-9 2.49964 0.03328
776e-9 2.4897 0.03011
777e-9 2.47988 0.02713
778e-9 2.47027 0.02443
779e-9 2.46089 0.02203
780e-9 2.45165 0.01977
781e-9 2.44266 0.01779
782e-9 2.43387 0.01597
783e-9 2.42521 0.01426
784e-9 2.41686 0.01276
785e-9 2.40866 0.01135
786e-9 2.40064 0.01003
787e-9 2.39288 0.00885
788e-9 2.38526 0.00774
789e-9 2.37785 0.00673
790e-9 2.37064 0.00583
791e-9 2.36356 0.00498
792e-9 2.35671 0.00425
793e-9 2.35001 0.00359
794e-9 2.34343 0.00298
795e-9 2.3371 0.00247
796e-9 2.33087 0.00201
797e-9 2.32478 0.00161
798e-9 2.31888 0.00128
799e-9 2.31307 0.000980375
800e-9 2.30744 0.000743651
