lambda n k
513e-9 2.11787 0.00801
514e-9 2.11689 0.00778
515e-9 2.1159 0.00754
516e-9 2.11492 0.00731
517e-9 2.11395 0.00708
518e-9 2.11298 0.00684
519e-9 2.11203 0.00661
520e-9 2.11107 0.00637
521e-9 2.11013 0.00613
522e-9 2.10919 0.0059
523e-9 2.10826 0.00566
524e-9 2.10734 0.00543
525e-9 2.10642 0.0052
526e-9 2.10552 0.00497
527e-9 2.10462 0.00474
528e-9 2.10374 0.00452
529e-9 2.10286 0.00429
530e-9 2.10199 0.00408
531e-9 2.10114 0.00386
532e-9 2.10029 0.00365
533e-9 2.09945 0.00344
534e-9 2.09863 0.00324
535e-9 2.09781 0.00304
536e-9 2.09701 0.00284
537e-9 2.09622 0.00265
538e-9 2.09544 0.00247
539e-9 2.09467 0.00229
540e-9 2.09391 0.00212
541e-9 2.09317 0.00195
542e-9 2.09244 0.00179
543e-9 2.09172 0.00164
544e-9 2.09101 0.00149
545e-9 2.09032 0.00135
546e-9 2.08964 0.00122
547e-9 2.08897 0.0011
548e-9 2.08831 0.000974497
549e-9 2.08768 0.000866608
550e-9 2.08705 0.00076363
551e-9 2.08644 0.000668158
552e-9 2.08584 0.00058344
553e-9 2.08525 0.000504125
554e-9 2.08468 0.000435031
555e-9 2.08413 0.000373776
556e-9 2.08358 0.000317897
557e-9 2.08305 0.000273298
558e-9 2.08253 0.000233596
559e-9 2.08202 0.00020093
560e-9 2.08153 0.000177519
561e-9 2.08104 0.000158723
562e-9 2.08056 0.000148671
563e-9 2.0801 0.000144601
564e-9 2.07964 0.000144433
565e-9 2.0792 0.000154484
566e-9 2.07877 0.00016879
567e-9 2.07834 0.000188266
568e-9 2.07793 0.000215303
569e-9 2.07752 0.000246101
570e-9 2.07712 0.0002838
571e-9 2.07673 0.000327024
572e-9 2.07635 0.000373585
573e-9 2.07597 0.000427624
574e-9 2.0756 0.000485694
575e-9 2.07524 0.000547902
576e-9 2.07489 0.000616347
577e-9 2.07454 0.000687812
578e-9 2.0742 0.000764476
579e-9 2.07387 0.000846116
580e-9 2.07354 0.000930422
581e-9 2.07321 0.00102
582e-9 2.07289 0.00111
583e-9 2.07258 0.00121
584e-9 2.07227 0.00131
585e-9 2.07197 0.00141
586e-9 2.07167 0.00152
587e-9 2.07138 0.00163
588e-9 2.07108 0.00175
589e-9 2.0708 0.00186
590e-9 2.07051 0.00199
591e-9 2.07023 0.00211
592e-9 2.06996 0.00224
593e-9 2.06968 0.00236
594e-9 2.06941 0.0025
595e-9 2.06915 0.00263
596e-9 2.06888 0.00277
597e-9 2.06862 0.00291
598e-9 2.06836 0.00305
599e-9 2.0681 0.00319
600e-9 2.06784 0.00334
601e-9 2.06758 0.00348
602e-9 2.06733 0.00363
603e-9 2.06708 0.00379
604e-9 2.06683 0.00394
605e-9 2.06658 0.00409
606e-9 2.06633 0.00425
607e-9 2.06608 0.00441
608e-9 2.06583 0.00457
609e-9 2.06558 0.00473
610e-9 2.06533 0.00489
611e-9 2.06509 0.00505
612e-9 2.06484 0.00522
613e-9 2.06459 0.00538
614e-9 2.06435 0.00555
615e-9 2.0641 0.00572
616e-9 2.06385 0.00589
617e-9 2.0636 0.00606
618e-9 2.06335 0.00623
619e-9 2.0631 0.0064
620e-9 2.06285 0.00657
621e-9 2.0626 0.00674
622e-9 2.06234 0.00691
623e-9 2.06209 0.00708
624e-9 2.06183 0.00726
625e-9 2.06158 0.00743
626e-9 2.06132 0.0076
627e-9 2.06106 0.00778
628e-9 2.06079 0.00795
629e-9 2.06053 0.00813
630e-9 2.06026 0.0083
631e-9 2.06 0.00848
632e-9 2.05972 0.00865
633e-9 2.05945 0.00882
634e-9 2.05918 0.009
