lambda n k
520e-9 1.66128 0.0
521e-9 1.66102 0.0
522e-9 1.66076 0.0
523e-9 1.66049 0.0
524e-9 1.66023 0.0
525e-9 1.65996 0.0
526e-9 1.65969 0.0
527e-9 1.65942 0.0
528e-9 1.65915 0.0
529e-9 1.65888 0.0
530e-9 1.65861 0.0
531e-9 1.65834 0.0
532e-9 1.65807 0.0
533e-9 1.65781 0.0
534e-9 1.65754 0.0
535e-9 1.65728 0.0
536e-9 1.65703 0.0
537e-9 1.65677 0.0
538e-9 1.65652 0.0
539e-9 1.65627 0.0
540e-9 1.65603 0.0
541e-9 1.65579 0.0
542e-9 1.65556 0.0
543e-9 1.65532 0.0
544e-9 1.6551 0.0
545e-9 1.65487 0.0
546e-9 1.65466 0.0
547e-9 1.65444 0.0
548e-9 1.65423 0.0
549e-9 1.65402 0.0
550e-9 1.65381 0.0
551e-9 1.65361 0.0
552e-9 1.65341 0.0
553e-9 1.65321 0.0
554e-9 1.65301 0.0
555e-9 1.65282 0.0
556e-9 1.65262 0.0
557e-9 1.65243 0.0
558e-9 1.65225 0.0
559e-9 1.65206 0.0
560e-9 1.65187 0.0
561e-9 1.65169 0.0
562e-9 1.65151 0.0
563e-9 1.65133 0.0
564e-9 1.65115 0.0
565e-9 1.65097 0.0
566e-9 1.65079 0.0
567e-9 1.65062 0.0
568e-9 1.65044 0.0
569e-9 1.65027 0.0
570e-9 1.6501 0.0
571e-9 1.64992 0.0
572e-9 1.64975 0.0
573e-9 1.64959 0.0
574e-9 1.64942 0.0
575e-9 1.64925 0.0
576e-9 1.64909 0.0
577e-9 1.64892 0.0
578e-9 1.64876 0.0
579e-9 1.6486 0.0
580e-9 1.64844 0.0
581e-9 1.64828 0.0
582e-9 1.64813 0.0
583e-9 1.64798 0.0
584e-9 1.64782 0.0
585e-9 1.64767 0.0
586e-9 1.64753 0.0
587e-9 1.64738 0.0
588e-9 1.64723 0.0
589e-9 1.64709 0.0
590e-9 1.64695 0.0
591e-9 1.64681 0.0
592e-9 1.64667 0.0
593e-9 1.64654 0.0
594e-9 1.64641 0.0
595e-9 1.64628 0.0
596e-9 1.64615 0.0
597e-9 1.64602 0.0
598e-9 1.64589 0.0
599e-9 1.64577 0.0
600e-9 1.64564 0.0
601e-9 1.64552 0.0
602e-9 1.6454 0.0
603e-9 1.64528 0.0
604e-9 1.64516 0.0
605e-9 1.64505 0.0
606e-9 1.64493 0.0
607e-9 1.64482 0.0
608e-9 1.6447 0.0
609e-9 1.64459 0.0
610e-9 1.64447 0.0
611e-9 1.64436 0.0
612e-9 1.64425 0.0
613e-9 1.64414 0.0
614e-9 1.64403 0.0
615e-9 1.64392 0.0
616e-9 1.6438 0.0
617e-9 1.64369 0.0
618e-9 1.64358 0.0
619e-9 1.64347 0.0
620e-9 1.64336 0.0
621e-9 1.64325 0.0
622e-9 1.64314 0.0
623e-9 1.64303 0.0
624e-9 1.64292 0.0
625e-9 1.64281 0.0
626e-9 1.6427 0.0
627e-9 1.64259 0.0
628e-9 1.64248 0.0
629e-9 1.64236 0.0
630e-9 1.64225 0.0
631e-9 1.64214 0.0
632e-9 1.64203 0.0
633e-9 1.64192 0.0
634e-9 1.64181 0.0
635e-9 1.6417 0.0
636e-9 1.6416 0.0
637e-9 1.64149 0.0
638e-9 1.64138 0.0
639e-9 1.64127 0.0
640e-9 1.64117 0.0
641e-9 1.64106 0.0
642e-9 1.64096 0.0
643e-9 1.64086 0.0
644e-9 1.64075 0.0
645e-9 1.64065 0.0
646e-9 1.64055 0.0
647e-9 1.64045 0.0
648e-9 1.64035 0.0
649e-9 1.64026 0.0
650e-9 1.64016 0.0
651e-9 1.64006 0.0
652e-9 1.63997 0.0
653e-9 1.63988 0.0
654e-9 1.63979 0.0
655e-9 1.6397 0.0
656e-9 1.63961 0.0
657e-9 1.63952 0.0
658e-9 1.63944 0.0
659e-9 1.63935 0.0
660e-9 1.63927 0.0
661e-9 1.63919 0.0
662e-9 1.63911 0.0
663e-9 1.63903 0.0
664e-9 1.63895 0.0
665e-9 1.63888 0.0
666e-9 1.6388 0.0
667e-9 1.63873 0.0
668e-9 1.63865 0.0
669e-9 1.63858 0.0
670e-9 1.63851 0.0
671e-9 1.63844 0.0
672e-9 1.63837 0.0
673e-9 1.6383 0.0
674e-9 1.63824 0.0
675e-9 1.63817 0.0
676e-9 1.63811 0.0
677e-9 1.63804 0.0
678e-9 1.63798 0.0
679e-9 1.63791 0.0
680e-9 1.63785 0.0
681e-9 1.63779 0.0
682e-9 1.63773 0.0
683e-9 1.63767 0.0
684e-9 1.63761 0.0
685e-9 1.63755 0.0
686e-9 1.63749 0.0
687e-9 1.63743 0.0
688e-9 1.63737 0.0
689e-9 1.63732 0.0
690e-9 1.63726 0.0
691e-9 1.6372 0.0
692e-9 1.63715 0.0
693e-9 1.63709 0.0
694e-9 1.63704 0.0
695e-9 1.63698 0.0
696e-9 1.63693 0.0
697e-9 1.63687 0.0
698e-9 1.63682 0.0
699e-9 1.63677 0.0
700e-9 1.63671 0.0
701e-9 1.63666 0.0
702e-9 1.63661 0.0
703e-9 1.63655 0.0
704e-9 1.6365 0.0
705e-9 1.63645 0.0
706e-9 1.63639 0.0
707e-9 1.63634 0.0
708e-9 1.63629 0.0
709e-9 1.63623 0.0
710e-9 1.63618 0.0
711e-9 1.63612 0.0
712e-9 1.63607 0.0
713e-9 1.63601 0.0
714e-9 1.63596 0.0
715e-9 1.6359 0.0
716e-9 1.63585 0.0
717e-9 1.63579 0.0
718e-9 1.63573 0.0
719e-9 1.63568 0.0
720e-9 1.63562 0.0
721e-9 1.63556 0.0
722e-9 1.6355 0.0
723e-9 1.63544 0.0
724e-9 1.63538 0.0
725e-9 1.63532 0.0
726e-9 1.63526 0.0
727e-9 1.6352 0.0
728e-9 1.63514 0.0
729e-9 1.63507 0.0
730e-9 1.63501 0.0
731e-9 1.63494 0.0
732e-9 1.63488 0.0
733e-9 1.63481 0.0
734e-9 1.63474 0.0
735e-9 1.63467 0.0
736e-9 1.6346 0.0
737e-9 1.63453 0.0
738e-9 1.63446 0.0
739e-9 1.63439 0.0
740e-9 1.63432 0.0
741e-9 1.63425 0.0
742e-9 1.63417 0.0
743e-9 1.6341 0.0
744e-9 1.63402 0.0
745e-9 1.63395 0.0
746e-9 1.63387 0.0
747e-9 1.6338 0.0
748e-9 1.63372 0.0
749e-9 1.63364 0.0
750e-9 1.63357 0.0
751e-9 1.63349 0.0
752e-9 1.63341 0.0
753e-9 1.63334 0.0
754e-9 1.63326 0.0
755e-9 1.63318 0.0
756e-9 1.63311 0.0
757e-9 1.63303 0.0
758e-9 1.63296 0.0
759e-9 1.63288 0.0
760e-9 1.63281 0.0
761e-9 1.63273 0.0
762e-9 1.63266 0.0
763e-9 1.63259 0.0
764e-9 1.63251 0.0
765e-9 1.63244 0.0
766e-9 1.63237 0.0
767e-9 1.6323 0.0
768e-9 1.63223 0.0
769e-9 1.63216 0.0
770e-9 1.63209 0.0
771e-9 1.63202 0.0
772e-9 1.63196 0.0
773e-9 1.63189 0.0
774e-9 1.63183 0.0
775e-9 1.63176 0.0
776e-9 1.6317 0.0
777e-9 1.63164 0.0
778e-9 1.63158 0.0
779e-9 1.63152 0.0
780e-9 1.63146 0.0
781e-9 1.6314 0.0
782e-9 1.63135 0.0
783e-9 1.63129 0.0
784e-9 1.63124 0.0
785e-9 1.63119 0.0
786e-9 1.63114 0.0
787e-9 1.63109 0.0
788e-9 1.63104 0.0
789e-9 1.63099 0.0
790e-9 1.63094 0.0
791e-9 1.6309 0.0
792e-9 1.63086 0.0
793e-9 1.63081 0.0
794e-9 1.63077 0.0
795e-9 1.63073 0.0
796e-9 1.63069 0.0
797e-9 1.63065 0.0
798e-9 1.63061 0.0
799e-9 1.63057 0.0
800e-9 1.63054 0.0
