lambda n k
513e-9 0.7407 2.38665
514e-9 0.73706 2.38931
515e-9 0.73342 2.39197
516e-9 0.72978 2.39462
517e-9 0.72614 2.39728
518e-9 0.7225 2.39994
519e-9 0.71886 2.40259
520e-9 0.71522 2.40525
521e-9 0.71158 2.40791
522e-9 0.70794 2.41056
523e-9 0.7043 2.41322
524e-9 0.70066 2.41588
525e-9 0.69737 2.41853
526e-9 0.69409 2.42119
527e-9 0.69081 2.42385
528e-9 0.68752 2.4265
529e-9 0.68424 2.42916
530e-9 0.68095 2.43182
531e-9 0.67767 2.43447
532e-9 0.67438 2.43713
533e-9 0.6711 2.43979
534e-9 0.66781 2.44244
535e-9 0.66453 2.44413
536e-9 0.66124 2.44497
537e-9 0.65796 2.44581
538e-9 0.65467 2.44664
539e-9 0.65139 2.44748
540e-9 0.6481 2.44832
541e-9 0.64482 2.44915
542e-9 0.64153 2.44999
543e-9 0.63825 2.45083
544e-9 0.63496 2.45166
545e-9 0.63175 2.4525
546e-9 0.6286 2.45334
547e-9 0.62544 2.45417
548e-9 0.62229 2.45501
549e-9 0.61914 2.45585
550e-9 0.61599 2.45668
551e-9 0.61283 2.45752
552e-9 0.60968 2.45836
553e-9 0.60653 2.4592
554e-9 0.60337 2.46003
555e-9 0.60022 2.46087
556e-9 0.59707 2.46171
557e-9 0.59391 2.46254
558e-9 0.59076 2.46338
559e-9 0.58761 2.46422
560e-9 0.58446 2.46505
561e-9 0.5813 2.46589
562e-9 0.57815 2.46673
563e-9 0.575 2.46756
564e-9 0.57184 2.4684
565e-9 0.56869 2.46924
566e-9 0.56559 2.47003
567e-9 0.56267 2.47005
568e-9 0.55976 2.47006
569e-9 0.55684 2.47007
570e-9 0.55392 2.47008
571e-9 0.551 2.4701
572e-9 0.54808 2.47011
573e-9 0.54516 2.47012
574e-9 0.54224 2.47014
575e-9 0.53932 2.47015
576e-9 0.53641 2.47016
577e-9 0.53349 2.47018
578e-9 0.53057 2.47019
579e-9 0.52765 2.4702
580e-9 0.52473 2.47021
581e-9 0.52181 2.47023
582e-9 0.51889 2.47024
583e-9 0.51597 2.47025
584e-9 0.51306 2.47027
585e-9 0.51014 2.47028
586e-9 0.50722 2.47029
587e-9 0.5043 2.47031
588e-9 0.50138 2.47032
589e-9 0.49864 2.47033
590e-9 0.49648 2.47034
591e-9 0.49432 2.47036
592e-9 0.49215 2.47037
593e-9 0.48999 2.47038
594e-9 0.48783 2.4704
595e-9 0.48567 2.47041
596e-9 0.48351 2.47035
597e-9 0.48134 2.47008
598e-9 0.47918 2.46981
599e-9 0.47702 2.46954
600e-9 0.47486 2.46927
601e-9 0.47269 2.46899
602e-9 0.47053 2.46872
603e-9 0.46837 2.46845
604e-9 0.46621 2.46818
605e-9 0.46405 2.46791
606e-9 0.46188 2.46764
607e-9 0.45972 2.46737
608e-9 0.45756 2.4671
609e-9 0.4554 2.46683
610e-9 0.45323 2.46656
611e-9 0.45107 2.46629
612e-9 0.44891 2.46602
613e-9 0.44688 2.46575
614e-9 0.44507 2.46548
615e-9 0.44325 2.46521
616e-9 0.44144 2.46494
617e-9 0.43962 2.46467
618e-9 0.43781 2.4644
619e-9 0.436 2.46413
620e-9 0.43418 2.46386
621e-9 0.43237 2.46358
622e-9 0.43055 2.46331
623e-9 0.42874 2.46304
624e-9 0.42692 2.46277
625e-9 0.42511 2.4625
626e-9 0.4233 2.46223
627e-9 0.42148 2.46196
628e-9 0.41967 2.46169
629e-9 0.41785 2.46142
630e-9 0.41604 2.46115
631e-9 0.41422 2.46088
632e-9 0.41241 2.46061
633e-9 0.41059 2.4601
634e-9 0.40878 2.45947
635e-9 0.40697 2.45884
636e-9 0.40515 2.45822
637e-9 0.40334 2.45759
638e-9 0.40152 2.45696
639e-9 0.40039 2.45633
640e-9 0.39939 2.4557
641e-9 0.39838 2.45507
642e-9 0.39738 2.45444
643e-9 0.39638 2.45382
644e-9 0.39538 2.45319
645e-9 0.39437 2.45256
646e-9 0.39337 2.45193
647e-9 0.39237 2.4513
648e-9 0.39137 2.45067
649e-9 0.39036 2.45004
650e-9 0.38936 2.44942
651e-9 0.38836 2.44879
652e-9 0.38736 2.44816
653e-9 0.38635 2.44753
654e-9 0.38535 2.4469
655e-9 0.38435 2.44627
656e-9 0.38335 2.44565
657e-9 0.38234 2.44502
658e-9 0.38134 2.44439
659e-9 0.38034 2.44376
660e-9 0.37934 2.44313
661e-9 0.37833 2.4425
662e-9 0.37733 2.44187
663e-9 0.37633 2.44125
664e-9 0.37537 2.44062
665e-9 0.37451 2.44019
666e-9 0.37365 2.44021
667e-9 0.3728 2.44022
668e-9 0.37194 2.44023
669e-9 0.37108 2.44024
670e-9 0.37022 2.44026
671e-9 0.36937 2.44027
672e-9 0.36851 2.44028
673e-9 0.36765 2.4403
674e-9 0.36679 2.44031
675e-9 0.36594 2.44032
676e-9 0.36508 2.44034
677e-9 0.36422 2.44035
678e-9 0.36336 2.44036
679e-9 0.36251 2.44037
680e-9 0.36165 2.44039
681e-9 0.36079 2.4404
682e-9 0.35993 2.44041
683e-9 0.35908 2.44043
684e-9 0.35822 2.44044
685e-9 0.35736 2.44045
686e-9 0.3565 2.44047
687e-9 0.35565 2.44048
688e-9 0.35496 2.44049
689e-9 0.35446 2.4405
690e-9 0.35397 2.44052
691e-9 0.35347 2.44053
692e-9 0.35298 2.44054
693e-9 0.35248 2.44056
694e-9 0.35199 2.44057
695e-9 0.35149 2.44058
696e-9 0.351 2.44059
697e-9 0.3505 2.4409
698e-9 0.35001 2.44128
699e-9 0.34951 2.44165
700e-9 0.34902 2.44202
701e-9 0.34852 2.44239
702e-9 0.34803 2.44276
703e-9 0.34753 2.44313
704e-9 0.34704 2.44351
705e-9 0.34654 2.44388
706e-9 0.34605 2.44425
707e-9 0.34555 2.44462
708e-9 0.34507 2.44499
709e-9 0.34482 2.44536
710e-9 0.34456 2.44573
711e-9 0.34431 2.44611
712e-9 0.34406 2.44648
713e-9 0.34381 2.44685
714e-9 0.34356 2.44722
715e-9 0.3433 2.44759
716e-9 0.34305 2.44796
717e-9 0.3428 2.44834
718e-9 0.34255 2.44871
719e-9 0.3423 2.44908
