lambda n k
513e-9 2.51725 0.59102
514e-9 2.52024 0.58675
515e-9 2.52322 0.58248
516e-9 2.52608 0.57817
517e-9 2.52893 0.57386
518e-9 2.53178 0.56955
519e-9 2.53463 0.56524
520e-9 2.53748 0.56093
521e-9 2.54034 0.55562
522e-9 2.54319 0.55032
523e-9 2.54605 0.54501
524e-9 2.54891 0.5397
525e-9 2.55176 0.5344
526e-9 2.55402 0.52906
527e-9 2.55627 0.52373
528e-9 2.55853 0.51839
529e-9 2.56078 0.51306
530e-9 2.56303 0.50772
531e-9 2.56359 0.50227
532e-9 2.56414 0.49681
533e-9 2.56469 0.49136
534e-9 2.56524 0.48591
535e-9 2.5658 0.48046
536e-9 2.56635 0.4742
537e-9 2.5669 0.46795
538e-9 2.56745 0.46169
539e-9 2.56801 0.45544
540e-9 2.56856 0.44918
541e-9 2.56891 0.44464
542e-9 2.56926 0.44009
543e-9 2.56961 0.43555
544e-9 2.56996 0.431
545e-9 2.5703 0.42646
546e-9 2.56721 0.42281
547e-9 2.56411 0.41917
548e-9 2.56102 0.41552
549e-9 2.55792 0.41188
550e-9 2.55483 0.40823
551e-9 2.55031 0.404
552e-9 2.5458 0.39977
553e-9 2.54128 0.39554
554e-9 2.53677 0.39131
555e-9 2.53225 0.38708
556e-9 2.52758 0.38296
557e-9 2.52291 0.37884
558e-9 2.51823 0.37472
559e-9 2.51356 0.37059
560e-9 2.50889 0.36647
561e-9 2.50603 0.36316
562e-9 2.50318 0.35985
563e-9 2.50032 0.35653
564e-9 2.49747 0.35322
565e-9 2.49462 0.3499
566e-9 2.49176 0.34657
567e-9 2.48891 0.34324
568e-9 2.48605 0.33991
569e-9 2.4832 0.33658
570e-9 2.48034 0.33325
571e-9 2.47744 0.3299
572e-9 2.47454 0.32654
573e-9 2.47163 0.32319
574e-9 2.46873 0.31983
575e-9 2.46583 0.31647
576e-9 2.46063 0.31353
577e-9 2.45543 0.31058
578e-9 2.45023 0.30764
579e-9 2.44503 0.30469
580e-9 2.43983 0.30175
581e-9 2.4349 0.29903
582e-9 2.42996 0.29632
583e-9 2.42502 0.29361
584e-9 2.42009 0.29089
585e-9 2.41515 0.28818
586e-9 2.41096 0.28593
587e-9 2.40677 0.28369
588e-9 2.40258 0.28144
589e-9 2.39839 0.27919
590e-9 2.3942 0.27695
591e-9 2.39001 0.27481
592e-9 2.38582 0.27267
593e-9 2.38163 0.27053
594e-9 2.37744 0.26839
595e-9 2.37326 0.26625
596e-9 2.36898 0.26411
597e-9 2.36471 0.26197
598e-9 2.36044 0.25983
599e-9 2.35617 0.25769
600e-9 2.3519 0.25556
601e-9 2.34619 0.25357
602e-9 2.34049 0.25158
603e-9 2.33479 0.24959
604e-9 2.32909 0.2476
605e-9 2.32338 0.24561
606e-9 2.31826 0.24399
607e-9 2.31314 0.24237
608e-9 2.30802 0.24075
609e-9 2.3029 0.23913
610e-9 2.29778 0.23751
611e-9 2.29405 0.2361
612e-9 2.29033 0.23468
613e-9 2.2866 0.23327
614e-9 2.28288 0.23185
615e-9 2.27915 0.23044
616e-9 2.27542 0.22927
617e-9 2.2717 0.22809
618e-9 2.26797 0.22692
619e-9 2.26424 0.22574
620e-9 2.26052 0.22457
621e-9 2.25692 0.22375
622e-9 2.25332 0.22293
623e-9 2.24973 0.22211
624e-9 2.24613 0.22129
625e-9 2.24253 0.22047
626e-9 2.23912 0.2198
627e-9 2.23572 0.21914
628e-9 2.23231 0.21847
629e-9 2.2289 0.2178
630e-9 2.2255 0.21713
631e-9 2.22209 0.21646
632e-9 2.21868 0.2158
633e-9 2.21527 0.21513
634e-9 2.21187 0.21446
635e-9 2.20846 0.21379
636e-9 2.20519 0.21325
637e-9 2.20192 0.2127
638e-9 2.19865 0.21216
639e-9 2.19538 0.21162
640e-9 2.19211 0.21107
641e-9 2.1894 0.21066
642e-9 2.18669 0.21024
643e-9 2.18398 0.20982
644e-9 2.18127 0.20941
645e-9 2.17857 0.20899
646e-9 2.17586 0.20857
647e-9 2.17315 0.20816
648e-9 2.17044 0.20774
649e-9 2.16773 0.20733
650e-9 2.16502 0.20691
651e-9 2.16258 0.20649
652e-9 2.16014 0.20608
653e-9 2.1577 0.20566
654e-9 2.15526 0.20524
655e-9 2.15282 0.20483
656e-9 2.15047 0.20441
657e-9 2.14812 0.204
658e-9 2.14577 0.20358
659e-9 2.14343 0.20316
660e-9 2.14108 0.20275
661e-9 2.13873 0.20244
662e-9 2.13638 0.20213
663e-9 2.13403 0.20182
664e-9 2.13169 0.20151
665e-9 2.12934 0.2012
666e-9 2.12708 0.201
667e-9 2.12483 0.20079
668e-9 2.12257 0.20058
669e-9 2.12032 0.20037
670e-9 2.11806 0.20016
671e-9 2.11629 0.19995
672e-9 2.11451 0.19975
673e-9 2.11274 0.19954
674e-9 2.11096 0.19933
675e-9 2.10919 0.19912
676e-9 2.10742 0.19891
677e-9 2.10564 0.1987
678e-9 2.10387 0.1985
679e-9 2.10209 0.19829
680e-9 2.10032 0.19808
681e-9 2.09862 0.19794
682e-9 2.09691 0.1978
683e-9 2.09521 0.19766
684e-9 2.0935 0.19752
685e-9 2.0918 0.19739
686e-9 2.09023 0.19729
687e-9 2.08867 0.19719
688e-9 2.0871 0.1971
689e-9 2.08554 0.197
690e-9 2.08397 0.19691
691e-9 2.08241 0.19681
692e-9 2.08084 0.19672
693e-9 2.07927 0.19662
694e-9 2.07771 0.19653
695e-9 2.07614 0.19643
696e-9 2.07485 0.19634
697e-9 2.07355 0.19624
698e-9 2.07225 0.19615
699e-9 2.07095 0.19605
700e-9 2.06966 0.19596
701e-9 2.07021 0.19586
702e-9 2.07076 0.19577
703e-9 2.07131 0.19567
704e-9 2.07187 0.19558
705e-9 2.07242 0.19548
706e-9 2.07297 0.19517
707e-9 2.07352 0.19486
708e-9 2.07408 0.19454
709e-9 2.07463 0.19423
710e-9 2.07518 0.19392
711e-9 2.07573 0.1936
712e-9 2.07629 0.19327
713e-9 2.07684 0.19295
714e-9 2.07739 0.19263
715e-9 2.07794 0.19231
716e-9 2.08061 0.19199
717e-9 2.08328 0.19166
718e-9 2.08595 0.19134
719e-9 2.08861 0.19102
720e-9 2.09128 0.1907
721e-9 2.09393 0.19032
722e-9 2.09657 0.18994
723e-9 2.09922 0.18956
724e-9 2.10186 0.18918
725e-9 2.10451 0.18881
726e-9 2.10607 0.18749
727e-9 2.10764 0.18616
728e-9 2.10921 0.18484
729e-9 2.11077 0.18352
730e-9 2.11234 0.1822
731e-9 2.1139 0.18088
732e-9 2.11547 0.17956
733e-9 2.11703 0.17824
734e-9 2.1186 0.17691
735e-9 2.12016 0.17559
736e-9 2.12173 0.17397
737e-9 2.12329 0.17234
738e-9 2.12486 0.17071
739e-9 2.12642 0.16909
740e-9 2.12799 0.16746
741e-9 2.13166 0.16557
742e-9 2.13533 0.16369
743e-9 2.13901 0.1618
744e-9 2.14268 0.15991
745e-9 2.14635 0.15802
746e-9 2.1493 0.15578
747e-9 2.15226 0.15353
748e-9 2.15521 0.15129
749e-9 2.15817 0.14904
750e-9 2.16112 0.1468
751e-9 2.16067 0.14383
752e-9 2.16022 0.14087
753e-9 2.15976 0.13791
754e-9 2.15931 0.13495
755e-9 2.15886 0.13199
756e-9 2.1584 0.12869
757e-9 2.15795 0.12539
758e-9 2.1575 0.1221
759e-9 2.15704 0.1188
760e-9 2.15659 0.11551
761e-9 2.15614 0.1113
762e-9 2.15568 0.10709
763e-9 2.15523 0.10288
764e-9 2.15478 0.09868
765e-9 2.15432 0.09447
766e-9 2.1525 0.0887
767e-9 2.15067 0.08294
768e-9 2.14885 0.07718
769e-9 2.14702 0.07141
770e-9 2.1452 0.06565
771e-9 2.1425 0.06233
772e-9 2.1398 0.059
773e-9 2.1371 0.05568
774e-9 2.1344 0.05236
775e-9 2.1317 0.04904
776e-9 2.12851 0.0471
777e-9 2.12532 0.04517
778e-9 2.12213 0.04323
779e-9 2.11894 0.0413
780e-9 2.11575 0.03936
781e-9 2.10796 0.03724
782e-9 2.10017 0.03511
783e-9 2.09238 0.03299
784e-9 2.08459 0.03086
785e-9 2.0768 0.02873
786e-9 2.06758 0.02613
787e-9 2.05835 0.02353
788e-9 2.04913 0.02092
789e-9 2.0399 0.01832
790e-9 2.03068 0.01571
791e-9 2.02036 0.01469
792e-9 2.01004 0.01368
793e-9 1.99973 0.01266
794e-9 1.98941 0.01164
795e-9 1.97909 0.01062
796e-9 1.96862 0.00991
797e-9 1.95815 0.00919
798e-9 1.94768 0.00848
799e-9 1.93721 0.00777
800e-9 1.92673 0.00705
801e-9 1.92139 0.00634
802e-9 1.91605 0.00563
803e-9 1.91071 0.00492
804e-9 1.90537 0.0042
805e-9 1.90003 0.00349
806e-9 1.89468 0.00299
807e-9 1.88934 0.00248
808e-9 1.884 0.00198
809e-9 1.87866 0.00148
810e-9 1.87332 0.000976
811e-9 1.8671 0.0009342
812e-9 1.86088 0.0008924
813e-9 1.85466 0.0008506
814e-9 1.84844 0.0008088
815e-9 1.84222 0.000767
816e-9 1.8356 0.000725
817e-9 1.82897 0.000683
818e-9 1.82235 0.000641
819e-9 1.81572 0.000599
820e-9 1.8091 0.000557
821e-9 1.80464 0.0005152
822e-9 1.80018 0.0004734
823e-9 1.79572 0.0004316
824e-9 1.79126 0.0003898
825e-9 1.7868 0.000348
826e-9 1.78251 0.000306
827e-9 1.77823 0.000264
828e-9 1.77395 0.000222
829e-9 1.76967 0.00018
830e-9 1.76539 0.000138
831e-9 1.76219 0.0001104
832e-9 1.759 8.28e-05
833e-9 1.7558 5.52e-05
834e-9 1.7526 2.76e-05
835e-9 1.74941 0.0
836e-9 1.74651 0.0
837e-9 1.74361 0.0
838e-9 1.74071 0.0
839e-9 1.73781 0.0
840e-9 1.73491 0.0
841e-9 1.73201 0.0
842e-9 1.7291 0.0
843e-9 1.7262 0.0
844e-9 1.7233 0.0
