lambda n k
513e-9 1.9828 0.39351
514e-9 1.98372 0.39332
515e-9 1.98463 0.39316
516e-9 1.98554 0.39307
517e-9 1.98645 0.39306
518e-9 1.98737 0.39309
519e-9 1.9883 0.39321
520e-9 1.98925 0.39338
521e-9 1.99022 0.3936
522e-9 1.99123 0.39391
523e-9 1.99227 0.39427
524e-9 1.99335 0.39467
525e-9 1.99449 0.39515
526e-9 1.99566 0.39565
527e-9 1.9969 0.39621
528e-9 1.99821 0.39682
529e-9 1.99956 0.39745
530e-9 2.00102 0.39812
531e-9 2.00253 0.39882
532e-9 2.0041 0.39953
533e-9 2.00579 0.40027
534e-9 2.00753 0.40101
535e-9 2.00937 0.40175
536e-9 2.0113 0.40249
537e-9 2.01328 0.40323
538e-9 2.01539 0.40394
539e-9 2.01758 0.40462
540e-9 2.01982 0.40529
541e-9 2.0222 0.4059
542e-9 2.02463 0.40649
543e-9 2.02714 0.40702
544e-9 2.02975 0.40748
545e-9 2.03241 0.4079
546e-9 2.03517 0.40823
547e-9 2.03798 0.40848
548e-9 2.04085 0.40869
549e-9 2.04381 0.40876
550e-9 2.0468 0.40876
551e-9 2.04984 0.40868
552e-9 2.05293 0.40846
553e-9 2.05605 0.40818
554e-9 2.05921 0.40775
555e-9 2.06239 0.40722
556e-9 2.06558 0.40661
557e-9 2.06878 0.40582
558e-9 2.07198 0.40494
559e-9 2.07518 0.40395
560e-9 2.07835 0.40279
561e-9 2.08151 0.40156
562e-9 2.08462 0.40017
563e-9 2.08769 0.39866
564e-9 2.09073 0.39706
565e-9 2.09367 0.39528
566e-9 2.09656 0.39342
567e-9 2.09938 0.39145
568e-9 2.10208 0.38933
569e-9 2.1047 0.38714
570e-9 2.1072 0.38483
571e-9 2.10957 0.38241
572e-9 2.11185 0.37994
573e-9 2.11393 0.37734
574e-9 2.11588 0.37469
575e-9 2.11771 0.37199
576e-9 2.1193 0.36922
577e-9 2.12077 0.36642
578e-9 2.12204 0.36358
579e-9 2.12309 0.36074
580e-9 2.124 0.35791
581e-9 2.12464 0.35509
582e-9 2.12509 0.35232
583e-9 2.12539 0.34959
584e-9 2.12538 0.34697
585e-9 2.12522 0.34443
586e-9 2.12485 0.34201
587e-9 2.12423 0.33978
588e-9 2.12348 0.33765
589e-9 2.12248 0.33578
590e-9 2.12133 0.33412
591e-9 2.12006 0.33261
592e-9 2.11856 0.33152
593e-9 2.117 0.33063
594e-9 2.11533 0.33004
595e-9 2.11359 0.32987
596e-9 2.11181 0.32993
597e-9 2.11003 0.33044
598e-9 2.10829 0.33134
599e-9 2.10658 0.33248
600e-9 2.10505 0.33422
601e-9 2.10364 0.33624
602e-9 2.10239 0.33861
603e-9 2.10149 0.34148
604e-9 2.10079 0.34459
605e-9 2.10047 0.34811
606e-9 2.10057 0.35195
607e-9 2.10094 0.35599
608e-9 2.10198 0.3604
609e-9 2.10342 0.36494
610e-9 2.10528 0.36964
611e-9 2.10794 0.37447
612e-9 2.11098 0.37933
613e-9 2.11467 0.38421
614e-9 2.11904 0.38898
615e-9 2.12381 0.39369
616e-9 2.1294 0.39814
617e-9 2.13548 0.40235
618e-9 2.14198 0.40636
619e-9 2.14929 0.40982
620e-9 2.15691 0.41298
621e-9 2.16503 0.41569
622e-9 2.17364 0.41775
623e-9 2.18251 0.41945
624e-9 2.1918 0.4204
625e-9 2.20133 0.42074
626e-9 2.21102 0.42068
627e-9 2.22095 0.41958
628e-9 2.23093 0.41803
629e-9 2.24096 0.41586
630e-9 2.25095 0.41281
631e-9 2.26088 0.40932
632e-9 2.27067 0.40503
633e-9 2.28025 0.4001
634e-9 2.28968 0.39476
635e-9 2.2987 0.38853
636e-9 2.30745 0.3819
637e-9 2.31591 0.37482
638e-9 2.32379 0.36705
639e-9 2.33139 0.35899
640e-9 2.33847 0.35045
641e-9 2.345 0.34151
642e-9 2.35119 0.33234
643e-9 2.35665 0.32277
