lambda n k
513e-9 1.71498 0.02796
514e-9 1.71434 0.02776
515e-9 1.7137 0.02757
516e-9 1.71308 0.02738
517e-9 1.71246 0.02718
518e-9 1.71185 0.027
519e-9 1.71124 0.02682
520e-9 1.71064 0.02663
521e-9 1.71006 0.02645
522e-9 1.70948 0.02628
523e-9 1.7089 0.02611
524e-9 1.70833 0.02593
525e-9 1.70776 0.02577
526e-9 1.70721 0.0256
527e-9 1.70666 0.02544
528e-9 1.70612 0.02528
529e-9 1.70557 0.02512
530e-9 1.70504 0.02496
531e-9 1.70452 0.02481
532e-9 1.70399 0.02466
533e-9 1.70347 0.02451
534e-9 1.70296 0.02436
535e-9 1.70246 0.02421
536e-9 1.70196 0.02407
537e-9 1.70147 0.02393
538e-9 1.70098 0.02379
539e-9 1.70049 0.02365
540e-9 1.70002 0.02351
541e-9 1.69954 0.02338
542e-9 1.69907 0.02325
543e-9 1.6986 0.02311
544e-9 1.69814 0.02299
545e-9 1.69769 0.02286
546e-9 1.69724 0.02274
547e-9 1.69679 0.02261
548e-9 1.69635 0.02249
549e-9 1.69591 0.02236
550e-9 1.69548 0.02225
551e-9 1.69505 0.02213
552e-9 1.69463 0.02201
553e-9 1.69421 0.0219
554e-9 1.69378 0.02178
555e-9 1.69337 0.02167
556e-9 1.69296 0.02155
557e-9 1.69256 0.02145
558e-9 1.69215 0.02134
559e-9 1.69176 0.02123
560e-9 1.69136 0.02112
561e-9 1.69097 0.02102
562e-9 1.69058 0.02091
563e-9 1.6902 0.02081
564e-9 1.68982 0.02071
565e-9 1.68944 0.02061
566e-9 1.68907 0.02051
567e-9 1.6887 0.02041
568e-9 1.68833 0.02031
569e-9 1.68797 0.02022
570e-9 1.68761 0.02012
571e-9 1.68725 0.02003
572e-9 1.6869 0.01994
573e-9 1.68655 0.01985
574e-9 1.6862 0.01975
575e-9 1.68586 0.01966
576e-9 1.68552 0.01957
577e-9 1.68518 0.01949
578e-9 1.68484 0.0194
579e-9 1.6845 0.01931
580e-9 1.68417 0.01923
581e-9 1.68385 0.01914
582e-9 1.68352 0.01906
583e-9 1.6832 0.01898
584e-9 1.68288 0.01889
585e-9 1.68256 0.01881
586e-9 1.68225 0.01873
587e-9 1.68194 0.01865
588e-9 1.68163 0.01857
589e-9 1.68132 0.0185
590e-9 1.68102 0.01842
591e-9 1.68072 0.01834
592e-9 1.68041 0.01826
593e-9 1.68012 0.01819
594e-9 1.67983 0.01812
595e-9 1.67953 0.01804
596e-9 1.67924 0.01796
597e-9 1.67896 0.01789
598e-9 1.67867 0.01782
599e-9 1.67839 0.01775
600e-9 1.67811 0.01768
601e-9 1.67783 0.01761
602e-9 1.67755 0.01754
603e-9 1.67727 0.01747
604e-9 1.67701 0.0174
605e-9 1.67673 0.01734
606e-9 1.67647 0.01727
607e-9 1.6762 0.01721
608e-9 1.67593 0.01714
609e-9 1.67567 0.01707
610e-9 1.67542 0.01701
611e-9 1.67515 0.01695
612e-9 1.67489 0.01688
613e-9 1.67465 0.01682
614e-9 1.67439 0.01675
615e-9 1.67414 0.0167
616e-9 1.67389 0.01663
617e-9 1.67364 0.01657
618e-9 1.6734 0.01652
619e-9 1.67315 0.01645
620e-9 1.67291 0.01639
621e-9 1.67267 0.01633
622e-9 1.67244 0.01628
623e-9 1.6722 0.01622
624e-9 1.67196 0.01616
625e-9 1.67172 0.0161
626e-9 1.67149 0.01605
627e-9 1.67127 0.01599
628e-9 1.67104 0.01594
629e-9 1.67081 0.01588
630e-9 1.67059 0.01582
631e-9 1.67036 0.01577
632e-9 1.67014 0.01572
633e-9 1.66992 0.01566
634e-9 1.6697 0.01561
635e-9 1.66948 0.01556
636e-9 1.66926 0.01551
637e-9 1.66905 0.01545
638e-9 1.66884 0.0154
639e-9 1.66863 0.01535
640e-9 1.66842 0.0153
641e-9 1.66821 0.01526
642e-9 1.668 0.01521
643e-9 1.66779 0.01516
644e-9 1.66759 0.01511
645e-9 1.66738 0.01506
646e-9 1.66718 0.01501
647e-9 1.66698 0.01496
648e-9 1.66679 0.01492
649e-9 1.66658 0.01487
650e-9 1.66639 0.01482
651e-9 1.6662 0.01477
652e-9 1.666 0.01472
653e-9 1.66581 0.01468
654e-9 1.66561 0.01463
655e-9 1.66542 0.01459
656e-9 1.66523 0.01455
657e-9 1.66505 0.0145
658e-9 1.66486 0.01445
659e-9 1.66467 0.01441
660e-9 1.66449 0.01437
661e-9 1.6643 0.01432
662e-9 1.66413 0.01428
663e-9 1.66394 0.01424
664e-9 1.66376 0.0142
665e-9 1.66358 0.01415
666e-9 1.66341 0.01411
667e-9 1.66323 0.01407
668e-9 1.66305 0.01402
669e-9 1.66288 0.01399
670e-9 1.6627 0.01394
671e-9 1.66254 0.01391
672e-9 1.66236 0.01386
673e-9 1.66219 0.01382
674e-9 1.66202 0.01378
675e-9 1.66186 0.01375
676e-9 1.66169 0.01371
677e-9 1.66153 0.01367
678e-9 1.66136 0.01363
679e-9 1.6612 0.01359
680e-9 1.66103 0.01355
681e-9 1.66087 0.01352
682e-9 1.66071 0.01348
683e-9 1.66054 0.01344
684e-9 1.66039 0.0134
685e-9 1.66023 0.01336
686e-9 1.66007 0.01333
687e-9 1.65992 0.01329
688e-9 1.65976 0.01325
689e-9 1.65961 0.01322
690e-9 1.65945 0.01318
691e-9 1.6593 0.01315
692e-9 1.65914 0.01311
693e-9 1.659 0.01308
694e-9 1.65885 0.01304
695e-9 1.65869 0.013
696e-9 1.65855 0.01297
697e-9 1.6584 0.01294
698e-9 1.65826 0.0129
699e-9 1.65811 0.01287
700e-9 1.65797 0.01284
701e-9 1.65782 0.0128
702e-9 1.65768 0.01277
703e-9 1.65754 0.01273
704e-9 1.6574 0.0127
705e-9 1.65725 0.01267
706e-9 1.65711 0.01263
707e-9 1.65697 0.0126
708e-9 1.65683 0.01257
709e-9 1.6567 0.01254
710e-9 1.65656 0.01251
711e-9 1.65642 0.01248
712e-9 1.65629 0.01244
713e-9 1.65615 0.01241
714e-9 1.65602 0.01238
715e-9 1.65589 0.01235
716e-9 1.65575 0.01232
717e-9 1.65562 0.01229
718e-9 1.65549 0.01226
719e-9 1.65536 0.01223
720e-9 1.65523 0.0122
721e-9 1.6551 0.01217
