lambda n k
410e-9 1.41693 0.14754
411e-9 1.41533 0.14692
412e-9 1.41368 0.14641
413e-9 1.41199 0.14596
414e-9 1.41026 0.14558
415e-9 1.40847 0.14534
416e-9 1.40665 0.14517
417e-9 1.40476 0.14516
418e-9 1.40281 0.14529
419e-9 1.40083 0.14551
420e-9 1.3988 0.14596
421e-9 1.39676 0.14649
422e-9 1.39473 0.14715
423e-9 1.39276 0.14796
424e-9 1.39085 0.14884
425e-9 1.38904 0.14986
426e-9 1.38735 0.15097
427e-9 1.38574 0.15213
428e-9 1.38426 0.15345
429e-9 1.38282 0.15482
430e-9 1.38144 0.15626
431e-9 1.3801 0.15782
432e-9 1.37876 0.15943
433e-9 1.37743 0.16112
434e-9 1.37609 0.16288
435e-9 1.37475 0.16468
436e-9 1.37342 0.16651
437e-9 1.37213 0.16834
438e-9 1.37086 0.17016
439e-9 1.36968 0.17192
440e-9 1.36854 0.17364
441e-9 1.36749 0.17527
442e-9 1.36652 0.17681
443e-9 1.36561 0.17832
444e-9 1.36478 0.17973
445e-9 1.36398 0.18113
446e-9 1.36321 0.18251
447e-9 1.36247 0.18389
448e-9 1.36174 0.18527
449e-9 1.36101 0.18668
450e-9 1.36028 0.1881
451e-9 1.35956 0.18954
452e-9 1.35885 0.19099
453e-9 1.35817 0.19241
454e-9 1.3575 0.19381
455e-9 1.35688 0.19517
456e-9 1.35629 0.19649
457e-9 1.35574 0.19774
458e-9 1.35525 0.19894
459e-9 1.35477 0.20011
460e-9 1.35431 0.20128
461e-9 1.35383 0.20251
462e-9 1.35334 0.20378
463e-9 1.35278 0.20522
464e-9 1.35217 0.20677
465e-9 1.35149 0.20848
466e-9 1.35069 0.21046
467e-9 1.34985 0.21257
468e-9 1.34894 0.21489
469e-9 1.34805 0.21734
470e-9 1.34716 0.21986
471e-9 1.34639 0.22248
472e-9 1.34569 0.22511
473e-9 1.34512 0.22775
474e-9 1.34477 0.23034
475e-9 1.34455 0.23288
476e-9 1.34457 0.23532
477e-9 1.34474 0.23768
478e-9 1.34501 0.23999
479e-9 1.34543 0.24217
480e-9 1.34587 0.24429
481e-9 1.34636 0.24634
482e-9 1.34686 0.24829
483e-9 1.34733 0.25018
484e-9 1.34775 0.25199
485e-9 1.34811 0.25372
486e-9 1.34842 0.25542
487e-9 1.34868 0.25708
488e-9 1.34892 0.25873
489e-9 1.34916 0.26038
490e-9 1.3494 0.26208
491e-9 1.34966 0.2638
492e-9 1.34995 0.26559
493e-9 1.3503 0.26746
494e-9 1.35069 0.26938
495e-9 1.35116 0.27141
496e-9 1.35168 0.27345
497e-9 1.35225 0.27551
498e-9 1.35292 0.2775
499e-9 1.35363 0.27944
500e-9 1.35439 0.28126
501e-9 1.35523 0.28291
502e-9 1.35609 0.28444
503e-9 1.35704 0.2857
504e-9 1.35803 0.28675
505e-9 1.35904 0.28762
506e-9 1.3601 0.28819
507e-9 1.36117 0.28866
508e-9 1.36224 0.289
509e-9 1.3633 0.28922
510e-9 1.36435 0.28941
511e-9 1.36534 0.28954
512e-9 1.36629 0.2897
513e-9 1.36721 0.28986
514e-9 1.36801 0.29013
515e-9 1.36877 0.29045
516e-9 1.36946 0.29086
517e-9 1.37007 0.29133
518e-9 1.37063 0.29185
519e-9 1.37113 0.29242
520e-9 1.3716 0.29301
521e-9 1.37203 0.29361
522e-9 1.37243 0.29422
523e-9 1.37281 0.29482
524e-9 1.37318 0.29541
525e-9 1.37353 0.29595
526e-9 1.37388 0.29647
527e-9 1.37422 0.29693
528e-9 1.37454 0.29731
529e-9 1.37485 0.29766
530e-9 1.37513 0.2979
531e-9 1.37538 0.29807
532e-9 1.3756 0.29816
533e-9 1.37575 0.2981
534e-9 1.37588 0.29798
