lambda n k
543e-9 4.48 1.67
544e-9 4.48 1.66
545e-9 4.48 1.65
546e-9 4.48 1.635
547e-9 4.48 1.62
548e-9 4.48 1.61
549e-9 4.48 1.6
550e-9 4.48 1.58
551e-9 4.48 1.56
552e-9 4.48 1.55
553e-9 4.48 1.54
554e-9 4.48 1.53
555e-9 4.48 1.52
556e-9 4.48 1.51
557e-9 4.48 1.5
558e-9 4.48 1.49
559e-9 4.48 1.4767
560e-9 4.48 1.4633
561e-9 4.48 1.45
562e-9 4.48 1.44
563e-9 4.48 1.43
564e-9 4.48 1.42
565e-9 4.48 1.41
566e-9 4.48 1.39
567e-9 4.48 1.37
568e-9 4.48 1.3633
569e-9 4.48 1.3567
570e-9 4.48 1.35
571e-9 4.48 1.34
572e-9 4.48 1.33
573e-9 4.48 1.315
574e-9 4.48 1.3
575e-9 4.48 1.295
576e-9 4.48 1.29
577e-9 4.48 1.28
578e-9 4.48 1.27
579e-9 4.48 1.26
580e-9 4.48 1.245
581e-9 4.48 1.23
582e-9 4.48 1.22
583e-9 4.48 1.21
584e-9 4.48 1.195
585e-9 4.48 1.18
586e-9 4.48 1.1767
587e-9 4.48 1.1733
588e-9 4.48 1.17
589e-9 4.48 1.16
590e-9 4.48 1.15
591e-9 4.48 1.14
592e-9 4.48 1.13
593e-9 4.48 1.115
594e-9 4.48 1.1
595e-9 4.48 1.09
596e-9 4.48 1.08
597e-9 4.48 1.07
598e-9 4.48 1.065
599e-9 4.48 1.06
600e-9 4.48 1.05
601e-9 4.48 1.04
602e-9 4.48 1.03
603e-9 4.48 1.02
604e-9 4.48 1.0167
605e-9 4.48 1.0133
606e-9 4.48 1.01
607e-9 4.48 0.9995
608e-9 4.48 0.989
609e-9 4.48 0.9815
610e-9 4.48 0.974
611e-9 4.48 0.96633
612e-9 4.48 0.95867
613e-9 4.48 0.951
614e-9 4.46 0.9395
615e-9 4.44 0.928
616e-9 4.44 0.921
617e-9 4.44 0.914
618e-9 4.44 0.903
619e-9 4.44 0.892
620e-9 4.44 0.88767
621e-9 4.425 0.88333
622e-9 4.41 0.879
623e-9 4.405 0.867
624e-9 4.4 0.855
625e-9 4.4 0.8495
626e-9 4.4 0.844
627e-9 4.4 0.834
628e-9 4.4 0.824
629e-9 4.4 0.81967
630e-9 4.4 0.81533
631e-9 4.4 0.811
632e-9 4.4 0.8015
633e-9 4.4 0.792
634e-9 4.3867 0.7835
635e-9 4.3733 0.775
636e-9 4.36 0.7685
637e-9 4.36 0.762
638e-9 4.36 0.758
639e-9 4.36 0.754
640e-9 4.36 0.75
641e-9 4.36 0.744
642e-9 4.36 0.738
643e-9 4.36 0.7295
644e-9 4.36 0.721
645e-9 4.36 0.7115
646e-9 4.36 0.702
647e-9 4.36 0.69667
648e-9 4.36 0.69133
649e-9 4.36 0.686
650e-9 4.36 0.681
651e-9 4.36 0.676
652e-9 4.36 0.6675
653e-9 4.36 0.659
654e-9 4.36 0.65267
655e-9 4.345 0.64633
656e-9 4.33 0.64
657e-9 4.325 0.6365
658e-9 4.32 0.633
659e-9 4.32 0.6235
660e-9 4.32 0.614
661e-9 4.32 0.605
662e-9 4.32 0.596
663e-9 4.32 0.59367
664e-9 4.32 0.59133
665e-9 4.32 0.589
666e-9 4.32 0.58
667e-9 4.32 0.571
668e-9 4.32 0.5635
669e-9 4.32 0.556
670e-9 4.3067 0.5495
671e-9 4.2933 0.543
672e-9 4.28 0.539
673e-9 4.28 0.535
674e-9 4.28 0.531
675e-9 4.28 0.5285
676e-9 4.28 0.526
677e-9 4.28 0.522
678e-9 4.28 0.518
679e-9 4.28 0.509
680e-9 4.28 0.5
681e-9 4.28 0.49633
682e-9 4.28 0.49267
683e-9 4.28 0.489
684e-9 4.27 0.482
685e-9 4.26 0.475
686e-9 4.2533 0.4705
687e-9 4.2467 0.466
688e-9 4.24 0.461
689e-9 4.24 0.456
690e-9 4.24 0.45433
691e-9 4.24 0.45267
692e-9 4.24 0.451
693e-9 4.225 0.4445
694e-9 4.21 0.438
