lambda n k
578e-9 1.46844 0.593
579e-9 1.46684 0.597
580e-9 1.46512 0.6
581e-9 1.46329 0.603
582e-9 1.46132 0.606
583e-9 1.45922 0.609
584e-9 1.457 0.612
585e-9 1.45463 0.615
586e-9 1.45212 0.618
587e-9 1.44948 0.621
588e-9 1.44669 0.624
589e-9 1.44378 0.626
590e-9 1.44076 0.629
591e-9 1.43762 0.632
592e-9 1.4344 0.635
593e-9 1.43111 0.638
594e-9 1.42777 0.641
595e-9 1.42442 0.644
596e-9 1.42109 0.648
597e-9 1.41783 0.652
598e-9 1.41468 0.655
599e-9 1.41167 0.659
600e-9 1.4089 0.664
601e-9 1.4064 0.668
602e-9 1.40421 0.673
603e-9 1.40248 0.678
604e-9 1.4012 0.683
605e-9 1.40044 0.688
606e-9 1.40035 0.693
607e-9 1.4009 0.698
608e-9 1.40216 0.704
609e-9 1.4043 0.709
610e-9 1.40722 0.715
611e-9 1.41101 0.721
612e-9 1.41578 0.726
613e-9 1.42142 0.731
614e-9 1.42799 0.736
615e-9 1.43556 0.74
616e-9 1.44399 0.745
617e-9 1.45332 0.749
618e-9 1.46354 0.753
619e-9 1.47452 0.757
620e-9 1.48626 0.76
621e-9 1.49872 0.763
622e-9 1.51174 0.765
623e-9 1.52533 0.766
624e-9 1.53938 0.768
625e-9 1.55379 0.768
626e-9 1.56849 0.768
627e-9 1.5834 0.767
628e-9 1.59842 0.766
629e-9 1.61348 0.764
630e-9 1.62847 0.762
631e-9 1.64335 0.758
632e-9 1.658 0.754
633e-9 1.67237 0.75
634e-9 1.6864 0.744
635e-9 1.69998 0.738
636e-9 1.7131 0.732
637e-9 1.72571 0.724
638e-9 1.73768 0.716
639e-9 1.74905 0.707
640e-9 1.7598 0.699
641e-9 1.76977 0.689
642e-9 1.77906 0.68
643e-9 1.78764 0.67
644e-9 1.79538 0.66
645e-9 1.80241 0.65
646e-9 1.80867 0.64
647e-9 1.81411 0.629
648e-9 1.81882 0.619
649e-9 1.82278 0.609
650e-9 1.82594 0.599
651e-9 1.82843 0.589
652e-9 1.8302 0.579
653e-9 1.83052 0.57
654e-9 1.82933 0.561
655e-9 1.82815 0.553
656e-9 1.82697 0.544
657e-9 1.82578 0.536
658e-9 1.8246 0.528
659e-9 1.82341 0.521
660e-9 1.82223 0.514
661e-9 1.81905 0.508
662e-9 1.81543 0.503
663e-9 1.81149 0.498
664e-9 1.80721 0.493
665e-9 1.80267 0.489
666e-9 1.7979 0.485
667e-9 1.79291 0.482
668e-9 1.78776 0.479
669e-9 1.78247 0.477
670e-9 1.77706 0.475
671e-9 1.77156 0.473
672e-9 1.766 0.472
673e-9 1.7604 0.47
674e-9 1.75478 0.47
675e-9 1.74917 0.47
676e-9 1.74356 0.47
677e-9 1.73799 0.471
678e-9 1.73247 0.471
679e-9 1.72701 0.473
680e-9 1.72161 0.474
681e-9 1.71629 0.476
682e-9 1.71106 0.477
683e-9 1.7059 0.479
684e-9 1.70086 0.482
685e-9 1.6959 0.485
686e-9 1.69105 0.488
687e-9 1.6863 0.491
688e-9 1.68165 0.493
689e-9 1.67711 0.497
690e-9 1.67267 0.501
691e-9 1.66833 0.504
692e-9 1.66409 0.508
693e-9 1.65995 0.513
694e-9 1.65591 0.516
695e-9 1.65196 0.52
696e-9 1.64811 0.525
697e-9 1.64434 0.53
698e-9 1.64067 0.534
699e-9 1.63708 0.539
700e-9 1.63358 0.544
701e-9 1.63016 0.548
702e-9 1.62682 0.553
703e-9 1.62356 0.558
704e-9 1.62038 0.562
705e-9 1.61728 0.567
706e-9 1.61425 0.572
707e-9 1.6113 0.577
708e-9 1.60843 0.582
709e-9 1.60563 0.586
710e-9 1.6029 0.591
711e-9 1.60025 0.596
712e-9 1.59768 0.6
713e-9 1.59518 0.605
714e-9 1.59276 0.609
715e-9 1.59042 0.613
716e-9 1.58816 0.618
717e-9 1.58597 0.622
718e-9 1.58388 0.627
719e-9 1.58186 0.631
720e-9 1.57993 0.636
721e-9 1.5781 0.639
722e-9 1.57636 0.643
723e-9 1.5747 0.647
724e-9 1.57316 0.651
725e-9 1.5717 0.655
726e-9 1.57035 0.658
727e-9 1.56911 0.662
728e-9 1.56798 0.665
729e-9 1.56696 0.669
730e-9 1.56606 0.671
731e-9 1.56527 0.674
732e-9 1.56462 0.678
733e-9 1.56409 0.681
734e-9 1.56369 0.683
735e-9 1.56344 0.686
736e-9 1.56331 0.689
737e-9 1.56333 0.692
738e-9 1.56351 0.694
739e-9 1.56383 0.697
740e-9 1.56431 0.7
741e-9 1.56496 0.703
742e-9 1.56576 0.705
743e-9 1.56673 0.707
744e-9 1.56789 0.71
745e-9 1.5692 0.712
746e-9 1.57072 0.714
747e-9 1.57242 0.717
748e-9 1.57429 0.72
749e-9 1.57638 0.722
750e-9 1.57865 0.724
751e-9 1.58113 0.727
752e-9 1.58382 0.73
753e-9 1.58671 0.733
754e-9 1.58982 0.735
755e-9 1.59315 0.738
756e-9 1.5967 0.741
757e-9 1.60047 0.743
758e-9 1.60448 0.746
759e-9 1.6087 0.749
760e-9 1.61317 0.752
761e-9 1.61788 0.755
762e-9 1.62281 0.758
763e-9 1.62802 0.762
764e-9 1.63345 0.764
765e-9 1.63913 0.768
766e-9 1.64507 0.772
767e-9 1.65125 0.774
768e-9 1.6577 0.778
769e-9 1.6644 0.782
770e-9 1.67135 0.785
771e-9 1.67858 0.789
772e-9 1.68607 0.793
773e-9 1.6938 0.797
774e-9 1.70183 0.801
775e-9 1.7101 0.805
776e-9 1.71863 0.809
777e-9 1.72745 0.812
778e-9 1.73652 0.817
779e-9 1.74586 0.821
780e-9 1.75547 0.824
781e-9 1.76533 0.828
782e-9 1.77546 0.833
783e-9 1.78586 0.836
784e-9 1.7965 0.84
785e-9 1.80743 0.844
786e-9 1.81859 0.847
787e-9 1.83001 0.851
788e-9 1.84169 0.855
789e-9 1.8536 0.858
790e-9 1.86575 0.862
791e-9 1.87816 0.865
792e-9 1.89078 0.868
793e-9 1.90364 0.871
794e-9 1.91671 0.874
795e-9 1.92999 0.876
796e-9 1.9435 0.879
797e-9 1.95719 0.881
798e-9 1.97107 0.883
799e-9 1.98515 0.885
800e-9 1.99939 0.886
801e-9 2.01379 0.888
802e-9 2.02835 0.889
803e-9 2.04304 0.89
804e-9 2.05787 0.891
805e-9 2.07281 0.891
806e-9 2.08784 0.891
807e-9 2.10298 0.891
808e-9 2.11818 0.891
809e-9 2.13344 0.889
810e-9 2.14875 0.889
811e-9 2.16408 0.888
812e-9 2.17941 0.885
813e-9 2.19474 0.884
814e-9 2.21005 0.881
815e-9 2.22531 0.879
816e-9 2.2405 0.876
817e-9 2.25562 0.872
818e-9 2.27062 0.868
819e-9 2.28552 0.863
820e-9 2.30027 0.858
821e-9 2.31485 0.852
822e-9 2.32927 0.847
823e-9 2.34347 0.841
824e-9 2.35746 0.834
825e-9 2.37122 0.827
826e-9 2.3847 0.821
827e-9 2.39793 0.812
828e-9 2.41086 0.804
829e-9 2.42347 0.795
830e-9 2.43578 0.786
831e-9 2.44773 0.777
832e-9 2.45932 0.767
833e-9 2.47057 0.757
834e-9 2.4814 0.746
835e-9 2.49186 0.735
836e-9 2.50192 0.723
837e-9 2.51154 0.712
838e-9 2.52077 0.7
839e-9 2.52956 0.687
840e-9 2.53791 0.675
841e-9 2.54585 0.661
842e-9 2.55331 0.648
843e-9 2.56034 0.634
844e-9 2.56695 0.621
845e-9 2.57307 0.607
846e-9 2.57878 0.593
847e-9 2.58404 0.579
848e-9 2.58886 0.564
849e-9 2.59327 0.549
850e-9 2.59722 0.534
851e-9 2.60076 0.51777
852e-9 2.60391 0.50541
853e-9 2.60662 0.49312
854e-9 2.60895 0.48089
855e-9 2.6109 0.46875
856e-9 2.61245 0.45672
857e-9 2.61367 0.44478
858e-9 2.6145 0.43297
859e-9 2.61499 0.42129
860e-9 2.61517 0.40974
861e-9 2.61499 0.39835
862e-9 2.61452 0.38711
863e-9 2.61376 0.37604
864e-9 2.6127 0.36514
865e-9 2.61138 0.3544
866e-9 2.60978 0.34386
867e-9 2.60794 0.33349
868e-9 2.60587 0.32331
869e-9 2.60356 0.31334
870e-9 2.60104 0.30355
871e-9 2.59832 0.29396
872e-9 2.5954 0.28458
873e-9 2.59232 0.27539
874e-9 2.58905 0.26641
875e-9 2.58563 0.25763
876e-9 2.58207 0.24904
877e-9 2.57835 0.24067
878e-9 2.57452 0.23249
879e-9 2.57056 0.22451
880e-9 2.56649 0.21674
881e-9 2.56232 0.20915
882e-9 2.55805 0.20178
883e-9 2.5537 0.19459
884e-9 2.54928 0.18758
885e-9 2.54478 0.18078
886e-9 2.54022 0.17415
887e-9 2.5356 0.16772
888e-9 2.53093 0.16147
889e-9 2.52622 0.15538
890e-9 2.52147 0.14948
891e-9 2.51669 0.14375
892e-9 2.51189 0.13819
893e-9 2.50706 0.1328
894e-9 2.50221 0.12756
895e-9 2.49735 0.12249
896e-9 2.49249 0.11757
897e-9 2.48762 0.1128
898e-9 2.48275 0.1082
899e-9 2.47788 0.10372
900e-9 2.47302 0.0994
901e-9 2.46817 0.09522
902e-9 2.46334 0.09116
903e-9 2.45852 0.08725
904e-9 2.45372 0.08346
905e-9 2.44894 0.0798
906e-9 2.44419 0.07627
907e-9 2.43946 0.07285
908e-9 2.43477 0.06955
909e-9 2.4301 0.06637
910e-9 2.42546 0.06329
911e-9 2.42086 0.06034
912e-9 2.41629 0.05748
913e-9 2.41176 0.05472
914e-9 2.40726 0.05207
915e-9 2.40281 0.0495
916e-9 2.39839 0.04704
917e-9 2.39402 0.04467
918e-9 2.38969 0.04238
919e-9 2.3854 0.04019
920e-9 2.38115 0.03808
921e-9 2.37695 0.03605
922e-9 2.3728 0.0341
923e-9 2.36868 0.03222
924e-9 2.36462 0.03043
925e-9 2.3606 0.0287
926e-9 2.35663 0.02705
927e-9 2.3527 0.02547
928e-9 2.34882 0.02394
929e-9 2.34499 0.02249
930e-9 2.34121 0.0211
931e-9 2.33747 0.01977
932e-9 2.33378 0.0185
933e-9 2.33013 0.01728
934e-9 2.32654 0.01613
935e-9 2.32299 0.01502
936e-9 2.31949 0.01397
937e-9 2.31604 0.01297
938e-9 2.31263 0.01201
939e-9 2.30927 0.01111
940e-9 2.30596 0.01025
941e-9 2.30269 0.00943
942e-9 2.29948 0.00866
943e-9 2.2963 0.00793
944e-9 2.29317 0.00724
945e-9 2.29009 0.00659
946e-9 2.28705 0.00598
947e-9 2.28406 0.0054
948e-9 2.28112 0.00487
949e-9 2.27821 0.00436
950e-9 2.27535 0.00389
951e-9 2.27254 0.00345
952e-9 2.26976 0.00304
953e-9 2.26704 0.00266
954e-9 2.26435 0.00231
955e-9 2.2617 0.00199
956e-9 2.2591 0.0017
957e-9 2.25654 0.00143
958e-9 2.25402 0.00119
959e-9 2.25154 0.000973594
960e-9 2.2491 0.000782192
961e-9 2.2467 0.000611884
962e-9 2.24434 0.000465079
963e-9 2.24202 0.000339875
964e-9 2.23974 0.000233857
965e-9 2.2375 0.000150416
966e-9 2.23529 8.55198e-05
967e-9 2.23312 3.88953e-05
968e-9 2.23099 1.09836e-05
969e-9 2.2289 0.0
970e-9 2.22684 6.9138e-06
971e-9 2.22482 2.89845e-05
972e-9 2.22284 0.0
973e-9 2.22089 0.0
974e-9 2.21897 0.0
975e-9 2.21709 0.0
976e-9 2.21525 0.0
977e-9 2.21344 0.0
978e-9 2.21166 0.0
979e-9 2.20992 0.0
980e-9 2.20821 0.0
981e-9 2.20653 0.0
982e-9 2.20488 0.0
983e-9 2.20327 0.0
984e-9 2.20169 0.0
985e-9 2.20014 0.0
986e-9 2.19862 0.0
987e-9 2.19714 0.0
988e-9 2.19568 0.0
989e-9 2.19426 0.0
990e-9 2.19287 0.0
991e-9 2.1915 0.0
992e-9 2.19017 0.0
993e-9 2.18887 0.0
994e-9 2.1876 0.0
995e-9 2.18637 0.0
996e-9 2.18516 0.0
997e-9 2.18398 0.0
998e-9 2.18284 0.0
999e-9 2.18173 0.0
1000e-9 2.18066 0.0
