lambda n k
513e-9 1.99272 0.13429
514e-9 1.99222 0.13375
515e-9 1.99171 0.1332
516e-9 1.99122 0.13267
517e-9 1.99072 0.13213
518e-9 1.99023 0.1316
519e-9 1.98974 0.13107
520e-9 1.98925 0.13055
521e-9 1.98877 0.13003
522e-9 1.98829 0.12951
523e-9 1.98781 0.129
524e-9 1.98733 0.12849
525e-9 1.98686 0.12798
526e-9 1.98639 0.12747
527e-9 1.98592 0.12697
528e-9 1.98546 0.12648
529e-9 1.98499 0.12598
530e-9 1.98453 0.12549
531e-9 1.98408 0.125
532e-9 1.98362 0.12451
533e-9 1.98317 0.12403
534e-9 1.98272 0.12355
535e-9 1.98227 0.12307
536e-9 1.98182 0.1226
537e-9 1.98138 0.12212
538e-9 1.98094 0.12166
539e-9 1.9805 0.12119
540e-9 1.98006 0.12073
541e-9 1.97963 0.12027
542e-9 1.97919 0.11981
543e-9 1.97876 0.11935
544e-9 1.97834 0.1189
545e-9 1.97791 0.11845
546e-9 1.97749 0.11801
547e-9 1.97707 0.11756
548e-9 1.97665 0.11712
549e-9 1.97623 0.11668
550e-9 1.97582 0.11624
551e-9 1.97541 0.11581
552e-9 1.975 0.11538
553e-9 1.97459 0.11495
554e-9 1.97418 0.11452
555e-9 1.97378 0.1141
556e-9 1.97338 0.11368
557e-9 1.97298 0.11326
558e-9 1.97258 0.11284
559e-9 1.97218 0.11242
560e-9 1.97179 0.11201
561e-9 1.9714 0.1116
562e-9 1.97101 0.11119
563e-9 1.97062 0.11079
564e-9 1.97023 0.11039
565e-9 1.96985 0.10999
566e-9 1.96947 0.10959
567e-9 1.96909 0.10919
568e-9 1.96871 0.1088
569e-9 1.96833 0.1084
570e-9 1.96796 0.10801
571e-9 1.96758 0.10763
572e-9 1.96721 0.10724
573e-9 1.96684 0.10686
574e-9 1.96647 0.10647
575e-9 1.96611 0.1061
576e-9 1.96574 0.10572
577e-9 1.96538 0.10534
578e-9 1.96502 0.10497
579e-9 1.96466 0.1046
580e-9 1.96431 0.10423
581e-9 1.96395 0.10386
582e-9 1.9636 0.1035
583e-9 1.96324 0.10313
584e-9 1.96289 0.10277
585e-9 1.96254 0.10241
586e-9 1.9622 0.10205
587e-9 1.96185 0.1017
588e-9 1.96151 0.10134
589e-9 1.96117 0.10099
590e-9 1.96083 0.10064
591e-9 1.96049 0.10029
592e-9 1.96015 0.09994
593e-9 1.95981 0.0996
594e-9 1.95948 0.09926
595e-9 1.95915 0.09892
596e-9 1.95881 0.09858
597e-9 1.95848 0.09824
598e-9 1.95816 0.0979
599e-9 1.95783 0.09757
600e-9 1.9575 0.09723
601e-9 1.95718 0.0969
602e-9 1.95686 0.09657
603e-9 1.95654 0.09625
604e-9 1.95622 0.09592
605e-9 1.9559 0.0956
606e-9 1.95558 0.09527
607e-9 1.95527 0.09495
608e-9 1.95495 0.09463
609e-9 1.95464 0.09431
610e-9 1.95433 0.094
611e-9 1.95402 0.09368
612e-9 1.95371 0.09337
613e-9 1.9534 0.09306
614e-9 1.9531 0.09275
615e-9 1.95279 0.09244
616e-9 1.95249 0.09213
617e-9 1.95219 0.09183
618e-9 1.95189 0.09152
619e-9 1.95159 0.09122
620e-9 1.95129 0.09092
621e-9 1.951 0.09062
622e-9 1.9507 0.09032
623e-9 1.95041 0.09002
624e-9 1.95011 0.08973
625e-9 1.94982 0.08943
626e-9 1.94953 0.08914
627e-9 1.94924 0.08885
628e-9 1.94896 0.08856
629e-9 1.94867 0.08827
630e-9 1.94839 0.08798
631e-9 1.9481 0.0877
632e-9 1.94782 0.08741
633e-9 1.94754 0.08713
634e-9 1.94726 0.08685
635e-9 1.94698 0.08657
636e-9 1.9467 0.08629
637e-9 1.94642 0.08601
638e-9 1.94615 0.08574
639e-9 1.94587 0.08546
640e-9 1.9456 0.08519
641e-9 1.94533 0.08491
642e-9 1.94505 0.08464
643e-9 1.94478 0.08437
644e-9 1.94452 0.0841
645e-9 1.94425 0.08384
646e-9 1.94398 0.08357
647e-9 1.94372 0.0833
648e-9 1.94345 0.08304
649e-9 1.94319 0.08278
650e-9 1.94292 0.08252
651e-9 1.94266 0.08226
652e-9 1.9424 0.082
653e-9 1.94214 0.08174
654e-9 1.94189 0.08148
655e-9 1.94163 0.08123
656e-9 1.94137 0.08097
657e-9 1.94112 0.08072
658e-9 1.94086 0.08047
659e-9 1.94061 0.08022
660e-9 1.94036 0.07997
661e-9 1.94011 0.07972
662e-9 1.93986 0.07947
663e-9 1.93961 0.07922
664e-9 1.93936 0.07898
665e-9 1.93911 0.07873
666e-9 1.93886 0.07849
667e-9 1.93862 0.07825
668e-9 1.93838 0.07801
669e-9 1.93813 0.07777
670e-9 1.93789 0.07753
671e-9 1.93765 0.07729
672e-9 1.93741 0.07705
673e-9 1.93717 0.07682
674e-9 1.93693 0.07658
675e-9 1.93669 0.07635
676e-9 1.93645 0.07611
677e-9 1.93622 0.07588
678e-9 1.93598 0.07565
679e-9 1.93575 0.07542
680e-9 1.93552 0.07519
681e-9 1.93528 0.07496
682e-9 1.93505 0.07474
683e-9 1.93482 0.07451
684e-9 1.93459 0.07429
685e-9 1.93436 0.07406
686e-9 1.93413 0.07384
687e-9 1.93391 0.07362
688e-9 1.93368 0.0734
689e-9 1.93346 0.07318
690e-9 1.93323 0.07296
691e-9 1.93301 0.07274
692e-9 1.93278 0.07252
693e-9 1.93256 0.0723
694e-9 1.93234 0.07209
695e-9 1.93212 0.07187
696e-9 1.9319 0.07166
697e-9 1.93168 0.07145
698e-9 1.93146 0.07123
699e-9 1.93125 0.07102
700e-9 1.93103 0.07081
701e-9 1.93081 0.0706
702e-9 1.9306 0.0704
703e-9 1.93038 0.07019
704e-9 1.93017 0.06998
705e-9 1.92996 0.06978
706e-9 1.92975 0.06957
707e-9 1.92954 0.06937
708e-9 1.92933 0.06916
709e-9 1.92912 0.06896
710e-9 1.92891 0.06876
711e-9 1.9287 0.06856
712e-9 1.92849 0.06836
713e-9 1.92829 0.06816
714e-9 1.92808 0.06796
715e-9 1.92787 0.06776
716e-9 1.92767 0.06756
717e-9 1.92747 0.06737
718e-9 1.92726 0.06717
719e-9 1.92706 0.06698
720e-9 1.92686 0.06679
721e-9 1.92666 0.06659
722e-9 1.92646 0.0664
723e-9 1.92626 0.06621
724e-9 1.92606 0.06602
725e-9 1.92586 0.06583
726e-9 1.92567 0.06564
727e-9 1.92547 0.06545
728e-9 1.92527 0.06526
729e-9 1.92508 0.06508
730e-9 1.92488 0.06489
731e-9 1.92469 0.0647
732e-9 1.9245 0.06452
733e-9 1.9243 0.06434
734e-9 1.92411 0.06415
735e-9 1.92392 0.06397
736e-9 1.92373 0.06379
737e-9 1.92354 0.06361
738e-9 1.92335 0.06343
739e-9 1.92316 0.06325
740e-9 1.92297 0.06307
741e-9 1.92279 0.06289
742e-9 1.9226 0.06271
743e-9 1.92241 0.06254
744e-9 1.92223 0.06236
745e-9 1.92204 0.06218
746e-9 1.92186 0.06201
747e-9 1.92168 0.06184
748e-9 1.92149 0.06166
749e-9 1.92131 0.06149
750e-9 1.92113 0.06132
751e-9 1.92095 0.06115
752e-9 1.92077 0.06097
753e-9 1.92059 0.0608
754e-9 1.92041 0.06063
755e-9 1.92023 0.06047
756e-9 1.92005 0.0603
757e-9 1.91987 0.06013
758e-9 1.91969 0.05996
759e-9 1.91952 0.0598
760e-9 1.91934 0.05963
761e-9 1.91917 0.05947
762e-9 1.91899 0.0593
763e-9 1.91882 0.05914
764e-9 1.91864 0.05897
765e-9 1.91847 0.05881
766e-9 1.9183 0.05865
767e-9 1.91813 0.05849
768e-9 1.91795 0.05833
769e-9 1.91778 0.05817
770e-9 1.91761 0.05801
771e-9 1.91744 0.05785
772e-9 1.91727 0.05769
773e-9 1.91711 0.05753
774e-9 1.91694 0.05738
775e-9 1.91677 0.05722
776e-9 1.9166 0.05706
777e-9 1.91644 0.05691
778e-9 1.91627 0.05675
779e-9 1.91611 0.0566
780e-9 1.91594 0.05645
781e-9 1.91578 0.05629
782e-9 1.91561 0.05614
783e-9 1.91545 0.05599
784e-9 1.91529 0.05584
785e-9 1.91512 0.05569
786e-9 1.91496 0.05554
787e-9 1.9148 0.05539
788e-9 1.91464 0.05524
789e-9 1.91448 0.05509
790e-9 1.91432 0.05494
791e-9 1.91416 0.05479
792e-9 1.914 0.05465
793e-9 1.91384 0.0545
794e-9 1.91368 0.05435
795e-9 1.91353 0.05421
796e-9 1.91337 0.05406
797e-9 1.91321 0.05392
798e-9 1.91306 0.05377
799e-9 1.9129 0.05363
800e-9 1.91275 0.05349
