lambda n k
513e-9 1.37988 0.19739
514e-9 1.37601 0.20052
515e-9 1.37212 0.20367
516e-9 1.3682 0.20686
517e-9 1.36425 0.21016
518e-9 1.36029 0.21353
519e-9 1.35629 0.21708
520e-9 1.35229 0.22082
521e-9 1.34827 0.22468
522e-9 1.34423 0.22891
523e-9 1.34019 0.23334
524e-9 1.33614 0.23802
525e-9 1.33209 0.24315
526e-9 1.32804 0.24848
527e-9 1.324 0.25417
528e-9 1.31997 0.26009
529e-9 1.31594 0.26615
530e-9 1.31191 0.2724
531e-9 1.30788 0.27869
532e-9 1.30385 0.28502
533e-9 1.2998 0.29131
534e-9 1.29575 0.29754
535e-9 1.29167 0.30365
536e-9 1.28755 0.30954
537e-9 1.28341 0.31531
538e-9 1.27924 0.32081
539e-9 1.27505 0.32623
540e-9 1.27086 0.33157
541e-9 1.2667 0.33692
542e-9 1.26256 0.34231
543e-9 1.25848 0.34782
544e-9 1.25449 0.35355
545e-9 1.25057 0.35942
546e-9 1.2468 0.36568
547e-9 1.24316 0.37226
548e-9 1.23964 0.37909
549e-9 1.23641 0.38659
550e-9 1.23332 0.39435
551e-9 1.23046 0.40249
552e-9 1.22791 0.41103
553e-9 1.22553 0.41975
554e-9 1.22351 0.42879
555e-9 1.22176 0.43798
556e-9 1.22021 0.44728
557e-9 1.21915 0.45673
558e-9 1.21829 0.46619
559e-9 1.21773 0.47567
560e-9 1.2176 0.48508
561e-9 1.21768 0.49445
562e-9 1.21814 0.50369
563e-9 1.21888 0.51284
564e-9 1.21978 0.52193
565e-9 1.22101 0.53088
566e-9 1.22235 0.53978
567e-9 1.22382 0.54861
568e-9 1.22545 0.55737
569e-9 1.22713 0.5661
570e-9 1.22889 0.57478
571e-9 1.23067 0.58344
572e-9 1.23245 0.59208
573e-9 1.23421 0.60071
574e-9 1.23593 0.60935
575e-9 1.23761 0.618
576e-9 1.23928 0.62671
577e-9 1.24097 0.63544
578e-9 1.24271 0.64425
579e-9 1.24457 0.65316
580e-9 1.24652 0.66213
581e-9 1.24867 0.67124
582e-9 1.25101 0.68046
583e-9 1.25349 0.68976
584e-9 1.25637 0.69927
585e-9 1.25944 0.70888
