lambda n k
510e-9 1.99607 0.00819
511e-9 1.99552 0.0082
512e-9 1.99495 0.0082
513e-9 1.99434 0.00821
514e-9 1.99373 0.00821
515e-9 1.99312 0.00822
516e-9 1.99252 0.00821
517e-9 1.99191 0.00816
518e-9 1.9913 0.00811
519e-9 1.99069 0.00806
520e-9 1.99008 0.00801
521e-9 1.98947 0.00796
522e-9 1.98886 0.00791
523e-9 1.98825 0.00786
524e-9 1.98764 0.00781
525e-9 1.98716 0.00776
526e-9 1.98672 0.00771
527e-9 1.98628 0.00766
528e-9 1.98584 0.00761
529e-9 1.9854 0.00734
530e-9 1.98496 0.0069
531e-9 1.98452 0.00646
532e-9 1.98408 0.00602
533e-9 1.98364 0.00558
534e-9 1.9832 0.00514
535e-9 1.98276 0.0047
536e-9 1.98232 0.00426
537e-9 1.98187 0.00381
538e-9 1.98143 0.00337
539e-9 1.98099 0.00293
540e-9 1.98055 0.00249
541e-9 1.98011 0.00206
542e-9 1.97967 0.0019
543e-9 1.97923 0.00174
544e-9 1.97879 0.00158
545e-9 1.97834 0.00141
546e-9 1.9779 0.00125
547e-9 1.97746 0.00109
548e-9 1.97702 0.000927793
549e-9 1.97658 0.000765534
550e-9 1.97621 0.000603275
551e-9 1.97588 0.000441016
552e-9 1.97555 0.000278757
553e-9 1.97523 0.000116498
554e-9 1.9749 3.95348e-05
555e-9 1.97457 4.49725e-05
556e-9 1.97424 5.04103e-05
557e-9 1.97391 5.5848e-05
558e-9 1.97358 6.12857e-05
559e-9 1.97325 6.67235e-05
560e-9 1.97292 7.21612e-05
561e-9 1.97259 7.75989e-05
562e-9 1.97226 8.30367e-05
563e-9 1.97193 8.84744e-05
564e-9 1.9716 9.39121e-05
565e-9 1.97127 9.93499e-05
566e-9 1.97094 0.000104788
567e-9 1.97061 0.000110225
568e-9 1.97028 0.000115663
569e-9 1.96995 0.000121101
570e-9 1.96962 0.000126539
571e-9 1.96929 0.000131976
572e-9 1.96896 0.000137414
573e-9 1.96863 0.000142852
574e-9 1.9683 0.000148289
575e-9 1.96801 0.000153727
576e-9 1.96774 0.000159165
577e-9 1.96746 0.000164603
578e-9 1.96719 0.00017004
579e-9 1.96691 0.000175478
580e-9 1.96664 0.000180916
581e-9 1.96637 0.000186354
582e-9 1.96609 0.000191791
583e-9 1.96582 0.000197229
584e-9 1.96555 0.000202667
585e-9 1.96527 0.000208105
586e-9 1.965 0.000213542
587e-9 1.96472 0.00021898
588e-9 1.96439 0.000224418
589e-9 1.96406 0.000229855
590e-9 1.96373 0.000235293
591e-9 1.9634 0.000240731
592e-9 1.96308 0.000246169
593e-9 1.96275 0.000251606
594e-9 1.96242 0.000257044
595e-9 1.96209 0.000262482
596e-9 1.96176 0.00026792
597e-9 1.96143 0.000273357
598e-9 1.9611 0.000278795
599e-9 1.96077 0.000284233
600e-9 1.96054 0.000289671
601e-9 1.96038 0.000295108
602e-9 1.96021 0.000300546
603e-9 1.96005 0.000305984
604e-9 1.95989 0.000311421
605e-9 1.95973 0.000316859
606e-9 1.95957 0.000322297
607e-9 1.9594 0.000327735
608e-9 1.95924 0.000333172
609e-9 1.95908 0.00033861
610e-9 1.95892 0.000344048
611e-9 1.95876 0.000349486
612e-9 1.95859 0.000354923
613e-9 1.95838 0.000360361
614e-9 1.95816 0.000365799
615e-9 1.95794 0.000371237
616e-9 1.95772 0.000376674
617e-9 1.9575 0.000382112
618e-9 1.95729 0.00038755
619e-9 1.95707 0.000392987
620e-9 1.95685 0.000398425
621e-9 1.95663 0.000403863
622e-9 1.95641 0.000409301
623e-9 1.9562 0.000414738
624e-9 1.95598 0.000420176
625e-9 1.95576 0.000425614
626e-9 1.95554 0.000431052
627e-9 1.95533 0.000436489
628e-9 1.95511 0.000441927
629e-9 1.95489 0.000447365
630e-9 1.95467 0.000452803
631e-9 1.95445 0.00045824
632e-9 1.95424 0.000463678
633e-9 1.95402 0.000469116
634e-9 1.9538 0.000474553
635e-9 1.95358 0.000479991
636e-9 1.95336 0.000485429
637e-9 1.95315 0.000490867
638e-9 1.95304 0.000496304
639e-9 1.95293 0.000501742
640e-9 1.95282 0.00050718
641e-9 1.95272 0.000512618
642e-9 1.95261 0.000518055
643e-9 1.95251 0.000523493
644e-9 1.9524 0.000528931
645e-9 1.95229 0.000534369
646e-9 1.95219 0.000539806
647e-9 1.95208 0.000545244
648e-9 1.95198 0.000550682
649e-9 1.95187 0.000556119
650e-9 1.95174 0.000561557
651e-9 1.95158 0.000566995
652e-9 1.95141 0.000572433
653e-9 1.95125 0.00057787
654e-9 1.95109 0.000583308
655e-9 1.95093 0.000588746
656e-9 1.95077 0.000594184
657e-9 1.9506 0.000599622
658e-9 1.95044 0.000605059
659e-9 1.95028 0.000610497
660e-9 1.95012 0.000615935
661e-9 1.94996 0.000621373
662e-9 1.94979 0.000626811
663e-9 1.94963 0.000632248
664e-9 1.94947 0.000637686
665e-9 1.94931 0.000643124
666e-9 1.94915 0.000648562
667e-9 1.94898 0.000654
668e-9 1.94882 0.000659437
669e-9 1.94866 0.000664875
670e-9 1.9485 0.000670313
671e-9 1.94834 0.000675751
672e-9 1.94817 0.000681188
673e-9 1.94801 0.000686626
674e-9 1.94785 0.000692064
675e-9 1.94771 0.000697502
676e-9 1.9476 0.000702939
677e-9 1.9475 0.000708377
678e-9 1.94739 0.000713815
679e-9 1.94729 0.000719252
680e-9 1.94718 0.00072469
681e-9 1.94707 0.000730128
682e-9 1.94697 0.000735566
683e-9 1.94686 0.000741003
684e-9 1.94675 0.000746441
685e-9 1.94665 0.000751879
686e-9 1.94654 0.000757317
687e-9 1.94644 0.000762754
688e-9 1.94624 0.000768192
689e-9 1.94602 0.00077363
690e-9 1.9458 0.000779068
691e-9 1.94558 0.000784505
692e-9 1.94536 0.000789943
693e-9 1.94515 0.000795381
694e-9 1.94493 0.000800818
695e-9 1.94471 0.000806256
696e-9 1.94449 0.000811694
697e-9 1.94427 0.000817132
698e-9 1.94406 0.000822569
699e-9 1.94384 0.000828007
700e-9 1.94369 0.000833445
701e-9 1.9437 0.000838883
702e-9 1.9437 0.00084432
703e-9 1.94371 0.000849758
704e-9 1.94371 0.000855196
705e-9 1.94372 0.000860634
706e-9 1.94372 0.000866071
707e-9 1.94373 0.000871509
708e-9 1.94373 0.000876947
709e-9 1.94373 0.000882384
710e-9 1.94374 0.000887822
711e-9 1.94374 0.00089326
712e-9 1.94375 0.000898698
713e-9 1.94375 0.000904135
714e-9 1.94376 0.000909573
715e-9 1.94377 0.000915011
716e-9 1.94377 0.000920449
717e-9 1.94378 0.000925886
718e-9 1.94378 0.000931324
719e-9 1.94379 0.000936762
720e-9 1.94379 0.0009422
721e-9 1.9438 0.000947637
722e-9 1.9438 0.000953075
723e-9 1.94381 0.000958513
724e-9 1.94382 0.00096395
725e-9 1.94382 0.000969388
726e-9 1.94383 0.000974826
727e-9 1.94383 0.000980264
728e-9 1.94384 0.000985701
729e-9 1.94384 0.000991146
730e-9 1.94385 0.000996675
731e-9 1.94385 0.001
732e-9 1.94386 0.00101
733e-9 1.94387 0.00101
734e-9 1.94387 0.00102
