lambda n k
513e-9 1.6627 0.21429
514e-9 1.66572 0.21714
515e-9 1.66867 0.21992
516e-9 1.67154 0.2226
517e-9 1.67424 0.22511
518e-9 1.67687 0.22753
519e-9 1.67932 0.22979
520e-9 1.68161 0.23189
521e-9 1.68381 0.2339
522e-9 1.68574 0.23567
523e-9 1.68757 0.23733
524e-9 1.68927 0.23885
525e-9 1.69085 0.24017
526e-9 1.6924 0.24138
527e-9 1.69393 0.24243
528e-9 1.6955 0.24333
529e-9 1.6971 0.24414
530e-9 1.69886 0.24475
531e-9 1.70074 0.24527
532e-9 1.70275 0.24568
533e-9 1.70506 0.24592
534e-9 1.70752 0.24608
535e-9 1.71025 0.24611
536e-9 1.71324 0.24599
537e-9 1.71638 0.24578
538e-9 1.71982 0.24537
539e-9 1.72341 0.24484
540e-9 1.72716 0.24419
541e-9 1.73118 0.24331
542e-9 1.7353 0.24233
543e-9 1.7396 0.24117
544e-9 1.74408 0.23981
545e-9 1.74866 0.23833
546e-9 1.75341 0.23662
547e-9 1.75826 0.23475
548e-9 1.76317 0.23276
549e-9 1.76817 0.23053
550e-9 1.77318 0.2282
551e-9 1.77821 0.22572
552e-9 1.7832 0.22306
553e-9 1.78816 0.22032
554e-9 1.79304 0.2174
555e-9 1.79782 0.21436
556e-9 1.80254 0.21124
557e-9 1.80705 0.20793
558e-9 1.81145 0.20455
559e-9 1.8157 0.20106
560e-9 1.81972 0.19742
561e-9 1.82363 0.19372
562e-9 1.82731 0.18989
563e-9 1.83079 0.18596
564e-9 1.83416 0.18196
565e-9 1.83722 0.17781
566e-9 1.84013 0.17359
567e-9 1.84287 0.16929
568e-9 1.84531 0.16487
569e-9 1.84762 0.16038
570e-9 1.84967 0.15579
571e-9 1.85148 0.1511
572e-9 1.85315 0.14636
573e-9 1.8545 0.14152
574e-9 1.85569 0.13665
575e-9 1.85672 0.13174
576e-9 1.85747 0.1268
577e-9 1.85809 0.12185
578e-9 1.85851 0.11691
579e-9 1.85873 0.112
580e-9 1.85883 0.1071
581e-9 1.8587 0.10227
582e-9 1.85843 0.09749
583e-9 1.85804 0.09277
584e-9 1.85742 0.08817
585e-9 1.8567 0.08364
586e-9 1.85583 0.07921
587e-9 1.85479 0.07491
588e-9 1.85366 0.07069
589e-9 1.85235 0.06662
590e-9 1.85094 0.06267
591e-9 1.84944 0.0588
592e-9 1.84775 0.05513
593e-9 1.84599 0.05155
594e-9 1.84413 0.04811
595e-9 1.84214 0.04485
596e-9 1.84008 0.04168
597e-9 1.8379 0.0387
598e-9 1.83564 0.03588
599e-9 1.83331 0.03316
600e-9 1.83086 0.03069
601e-9 1.82837 0.02832
602e-9 1.82581 0.02608
603e-9 1.82318 0.02403
604e-9 1.82053 0.02206
605e-9 1.81783 0.02025
606e-9 1.8151 0.01856
607e-9 1.81236 0.01695
608e-9 1.8096 0.0155
609e-9 1.80684 0.01412
610e-9 1.80408 0.01283
611e-9 1.80135 0.01166
612e-9 1.79863 0.01055
613e-9 1.79595 0.00953
614e-9 1.79331 0.0086
