lambda n k
513e-9 1.81566 0.09453
514e-9 1.81479 0.09189
515e-9 1.81397 0.09042
516e-9 1.81314 0.09248
517e-9 1.81231 0.09029
518e-9 1.8117 0.08572
519e-9 1.81111 0.08922
520e-9 1.81053 0.08843
521e-9 1.80991 0.09028
522e-9 1.80925 0.08854
523e-9 1.80864 0.0899
524e-9 1.80798 0.08671
525e-9 1.80734 0.08688
526e-9 1.80676 0.0856
527e-9 1.80618 0.08673
528e-9 1.80565 0.08786
529e-9 1.80508 0.08415
530e-9 1.80445 0.08965
531e-9 1.80387 0.08446
532e-9 1.80325 0.08584
533e-9 1.80266 0.08454
534e-9 1.80206 0.08347
535e-9 1.80142 0.08142
536e-9 1.80078 0.08698
537e-9 1.80011 0.08099
538e-9 1.79947 0.08632
539e-9 1.79876 0.08574
540e-9 1.79806 0.0802
541e-9 1.79737 0.08333
542e-9 1.79671 0.08174
543e-9 1.7961 0.0809
544e-9 1.79541 0.08179
545e-9 1.79472 0.08394
546e-9 1.79398 0.08184
547e-9 1.79331 0.07798
548e-9 1.79259 0.07461
549e-9 1.79188 0.07751
550e-9 1.79117 0.07513
551e-9 1.79053 0.07628
552e-9 1.78983 0.07844
553e-9 1.7891 0.0725
554e-9 1.78838 0.07441
555e-9 1.78769 0.07632
556e-9 1.78708 0.07417
557e-9 1.78635 0.07532
558e-9 1.78567 0.07622
559e-9 1.78499 0.07431
560e-9 1.7843 0.07316
561e-9 1.78366 0.07226
562e-9 1.78294 0.07239
563e-9 1.78231 0.07123
564e-9 1.78165 0.06981
565e-9 1.78108 0.0733
566e-9 1.78047 0.07394
567e-9 1.77984 0.07122
568e-9 1.77924 0.06874
569e-9 1.77868 0.06938
570e-9 1.7781 0.06637
571e-9 1.77753 0.06962
572e-9 1.77695 0.06686
573e-9 1.77633 0.06908
574e-9 1.7758 0.06973
575e-9 1.77518 0.06642
576e-9 1.7746 0.0668
577e-9 1.774 0.06771
578e-9 1.77341 0.06571
579e-9 1.77284 0.06264
580e-9 1.7723 0.06195
581e-9 1.7718 0.06365
582e-9 1.77129 0.06189
583e-9 1.77069 0.06387
584e-9 1.77008 0.06666
585e-9 1.76948 0.06275
586e-9 1.76892 0.06447
587e-9 1.76841 0.06485
588e-9 1.76792 0.06469
589e-9 1.76744 0.06561
590e-9 1.76697 0.0641
591e-9 1.76644 0.06529
592e-9 1.76594 0.06676
593e-9 1.76546 0.06116
594e-9 1.765 0.0648
595e-9 1.76449 0.063
596e-9 1.76401 0.06557
597e-9 1.76355 0.06349
598e-9 1.76311 0.06414
599e-9 1.76265 0.06123
600e-9 1.76219 0.06023
601e-9 1.76165 0.06309
602e-9 1.76115 0.06347
603e-9 1.76065 0.06413
604e-9 1.76019 0.06174
605e-9 1.75971 0.06268
606e-9 1.75922 0.06528
607e-9 1.75872 0.06121
608e-9 1.75821 0.06605
609e-9 1.75769 0.06532
610e-9 1.7572 0.0618
611e-9 1.7567 0.06302
612e-9 1.75625 0.06537
613e-9 1.7558 0.06154
614e-9 1.75537 0.06192
615e-9 1.75494 0.06146
616e-9 1.75449 0.05817
617e-9 1.75402 0.05685
618e-9 1.75352 0.06232
619e-9 1.75302 0.05874
620e-9 1.75253 0.06167
621e-9 1.75208 0.06006
622e-9 1.75163 0.06415
623e-9 1.75117 0.06311
624e-9 1.75074 0.06322
625e-9 1.75039 0.06102
626e-9 1.75012 0.05883
627e-9 1.7499 0.05518
628e-9 1.74965 0.05901
629e-9 1.74943 0.0568
630e-9 1.74923 0.06094
631e-9 1.74907 0.05987
632e-9 1.74891 0.06084
633e-9 1.74872 0.06384
634e-9 1.7485 0.06481
635e-9 1.74826 0.06258
636e-9 1.748 0.06152
637e-9 1.74781 0.06278
638e-9 1.74769 0.05703
639e-9 1.7475 0.05976
640e-9 1.74733 0.06014
641e-9 1.74711 0.06053
642e-9 1.74695 0.06151
643e-9 1.74681 0.06543
644e-9 1.74664 0.0614
645e-9 1.7465 0.06179
646e-9 1.74634 0.061
647e-9 1.74615 0.05991
648e-9 1.74601 0.05703
649e-9 1.7459 0.05504
650e-9 1.74581 0.05274
651e-9 1.7457 0.05372
652e-9 1.7456 0.0538
653e-9 1.74548 0.05747
654e-9 1.74537 0.05576
655e-9 1.74521 0.05465
656e-9 1.74507 0.05864
657e-9 1.74497 0.05511
658e-9 1.74489 0.05429
659e-9 1.74477 0.05166
660e-9 1.74468 0.05355
661e-9 1.74457 0.0503
662e-9 1.74446 0.05159
663e-9 1.7443 0.04589
664e-9 1.74416 0.04444
665e-9 1.74402 0.0503
666e-9 1.74391 0.04854
667e-9 1.74376 0.04647
668e-9 1.74362 0.05267
669e-9 1.74344 0.05244
670e-9 1.74326 0.05774
671e-9 1.74309 0.05383
672e-9 1.74292 0.05699
673e-9 1.74272 0.05707
674e-9 1.74256 0.05252
675e-9 1.7424 0.05508
676e-9 1.74221 0.05113
677e-9 1.74203 0.05648
678e-9 1.74189 0.05377
679e-9 1.74174 0.05042
680e-9 1.74161 0.04925
681e-9 1.74144 0.0462
682e-9 1.74123 0.04877
683e-9 1.74107 0.05448
684e-9 1.74087 0.04985
685e-9 1.74068 0.05181
686e-9 1.74043 0.05252
687e-9 1.74022 0.05322
688e-9 1.74009 0.05015
689e-9 1.74002 0.05148
690e-9 1.73994 0.04618
691e-9 1.73984 0.04688
692e-9 1.73974 0.04917
693e-9 1.73967 0.04956
694e-9 1.73962 0.04804
695e-9 1.73955 0.04683
696e-9 1.73944 0.0485
697e-9 1.73936 0.04601
698e-9 1.73925 0.04767
699e-9 1.73917 0.05063
700e-9 1.73908 0.05166
701e-9 1.73904 0.05238
702e-9 1.73902 0.0473
703e-9 1.73894 0.05156
704e-9 1.73889 0.05422
705e-9 1.7388 0.05623
706e-9 1.73872 0.05534
707e-9 1.7386 0.05185
708e-9 1.73847 0.04673
709e-9 1.73836 0.05103
710e-9 1.73823 0.04849
711e-9 1.73808 0.05247
712e-9 1.73798 0.04798
713e-9 1.7379 0.04739
714e-9 1.73783 0.0468
715e-9 1.73774 0.04556
716e-9 1.73766 0.04431
717e-9 1.73761 0.04437
718e-9 1.73752 0.04575
719e-9 1.73742 0.04911
720e-9 1.73737 0.04555
721e-9 1.73734 0.04495
722e-9 1.73731 0.04501
723e-9 1.73726 0.05004
724e-9 1.73725 0.05078
725e-9 1.73723 0.04819
726e-9 1.73724 0.04559
727e-9 1.73721 0.04866
728e-9 1.73722 0.04505
729e-9 1.73721 0.04445
730e-9 1.73721 0.04819
731e-9 1.73717 0.04591
732e-9 1.73714 0.04731
733e-9 1.73707 0.05309
734e-9 1.73699 0.05114
735e-9 1.7369 0.04986
736e-9 1.7368 0.05162
737e-9 1.73669 0.05473
738e-9 1.7366 0.05142
739e-9 1.73649 0.05149
740e-9 1.7364 0.04986
741e-9 1.73637 0.04925
742e-9 1.7363 0.05034
743e-9 1.73625 0.05007
744e-9 1.73618 0.04877
745e-9 1.73608 0.04815
746e-9 1.73597 0.04548
747e-9 1.7359 0.04417
748e-9 1.73582 0.03977
749e-9 1.73577 0.04017
750e-9 1.73574 0.04057
751e-9 1.73576 0.04166
752e-9 1.73571 0.04343
753e-9 1.73568 0.05005
754e-9 1.73562 0.04562
755e-9 1.73561 0.05088
756e-9 1.73559 0.0506
757e-9 1.73558 0.05691
758e-9 1.73557 0.05768
759e-9 1.7355 0.04975
760e-9 1.73545 0.054
761e-9 1.73543 0.05337
762e-9 1.73537 0.05205
763e-9 1.73534 0.05176
764e-9 1.73532 0.05043
765e-9 1.73532 0.04454
766e-9 1.73529 0.04143
767e-9 1.73528 0.05379
768e-9 1.73531 0.0433
769e-9 1.73529 0.04406
770e-9 1.73528 0.04871
771e-9 1.73524 0.04948
772e-9 1.73524 0.04919
773e-9 1.73523 0.04217
774e-9 1.73518 0.04009
775e-9 1.73512 0.04121
776e-9 1.73512 0.05229
777e-9 1.73513 0.0431
778e-9 1.73516 0.04708
779e-9 1.7352 0.04678
780e-9 1.73524 0.04219
781e-9 1.73528 0.04941
782e-9 1.73528 0.04517
783e-9 1.7353 0.0463
784e-9 1.73535 0.046
785e-9 1.73539 0.0475
786e-9 1.73542 0.04288
787e-9 1.73544 0.04221
788e-9 1.73549 0.04551
789e-9 1.73552 0.05244
790e-9 1.73556 0.0536
791e-9 1.73562 0.05294
792e-9 1.73568 0.04938
793e-9 1.73572 0.04762
794e-9 1.73577 0.0444
795e-9 1.73581 0.04337
796e-9 1.73583 0.04123
797e-9 1.73586 0.04019
798e-9 1.73587 0.03475
799e-9 1.7359 0.03699
800e-9 1.73591 0.04071
801e-9 1.73592 0.04663
802e-9 1.73594 0.04228
803e-9 1.73596 0.0519
804e-9 1.73604 0.04791
805e-9 1.73605 0.04428
806e-9 1.73606 0.04471
807e-9 1.7361 0.04883
808e-9 1.73612 0.04519
809e-9 1.73614 0.03746
810e-9 1.73617 0.03973
811e-9 1.73626 0.04684
812e-9 1.73634 0.0469
813e-9 1.73642 0.04658
814e-9 1.73651 0.05299
815e-9 1.73658 0.04745
816e-9 1.73666 0.049
817e-9 1.73676 0.05505
818e-9 1.73682 0.05962
819e-9 1.73689 0.05894
820e-9 1.73694 0.05074
821e-9 1.73704 0.04742
822e-9 1.73709 0.05087
823e-9 1.73714 0.04225
824e-9 1.73719 0.04117
825e-9 1.73724 0.04954
826e-9 1.7373 0.04922
827e-9 1.73736 0.04435
828e-9 1.73742 0.04403
829e-9 1.73744 0.04332
830e-9 1.73749 0.04147
831e-9 1.7376 0.04724
832e-9 1.73765 0.04729
833e-9 1.73771 0.04162
834e-9 1.73778 0.04664
835e-9 1.73783 0.05129
836e-9 1.73791 0.05288
837e-9 1.73798 0.04643
838e-9 1.73802 0.03803
839e-9 1.73804 0.04115
840e-9 1.7381 0.04467
841e-9 1.73817 0.03084
842e-9 1.73825 0.0386
843e-9 1.73835 0.04058
844e-9 1.7384 0.0325
845e-9 1.73846 0.03912
846e-9 1.73851 0.04227
847e-9 1.73858 0.04776
848e-9 1.73868 0.0412
849e-9 1.73876 0.04086
850e-9 1.73884 0.03663
851e-9 1.73893 0.04798
852e-9 1.73901 0.04765
853e-9 1.73907 0.04614
854e-9 1.73914 0.04071
855e-9 1.73918 0.04703
856e-9 1.73917 0.04081
857e-9 1.73917 0.03968
858e-9 1.73921 0.03815
859e-9 1.73928 0.03032
860e-9 1.73935 0.04691
861e-9 1.73938 0.03671
862e-9 1.73937 0.03477
863e-9 1.73936 0.04193
864e-9 1.73935 0.03921
865e-9 1.73931 0.04005
866e-9 1.73925 0.04089
867e-9 1.73917 0.04253
868e-9 1.73912 0.04138
869e-9 1.73903 0.04103
870e-9 1.73898 0.04267
871e-9 1.73895 0.04671
872e-9 1.73887 0.04037
873e-9 1.73882 0.04042
874e-9 1.73876 0.04968
875e-9 1.73872 0.04813
876e-9 1.73866 0.051
877e-9 1.73857 0.03739
878e-9 1.73848 0.04186
879e-9 1.7384 0.03908
880e-9 1.73829 0.04357
881e-9 1.73818 0.05129
882e-9 1.73806 0.04528
883e-9 1.73799 0.04817
884e-9 1.73789 0.03647
885e-9 1.73779 0.04097
886e-9 1.73769 0.04549
887e-9 1.73768 0.03781
888e-9 1.73758 0.03419
889e-9 1.73755 0.04197
890e-9 1.7375 0.03917
891e-9 1.73748 0.02777
892e-9 1.73748 0.03516
893e-9 1.73747 0.0352
894e-9 1.73754 0.03729
895e-9 1.73759 0.04431
896e-9 1.73761 0.03491
897e-9 1.73775 0.04276
898e-9 1.73788 0.03622
899e-9 1.73801 0.03956
900e-9 1.73813 0.0524
