lambda n k
513e-9 1.65555 0.0564
514e-9 1.65695 0.05957
515e-9 1.65827 0.06279
516e-9 1.65948 0.06606
517e-9 1.66055 0.06941
518e-9 1.66157 0.07281
519e-9 1.66254 0.0763
520e-9 1.66351 0.07986
521e-9 1.66449 0.08347
522e-9 1.66559 0.08721
523e-9 1.66676 0.09101
524e-9 1.66805 0.09488
525e-9 1.66957 0.09888
526e-9 1.67123 0.10294
527e-9 1.67315 0.10711
528e-9 1.67537 0.11138
529e-9 1.67776 0.11571
530e-9 1.68063 0.12018
531e-9 1.68377 0.12471
532e-9 1.68721 0.12933
533e-9 1.69121 0.13407
534e-9 1.69549 0.13887
535e-9 1.70027 0.14377
536e-9 1.70556 0.14877
537e-9 1.71117 0.15381
538e-9 1.71749 0.15897
539e-9 1.72422 0.1642
540e-9 1.73134 0.1695
541e-9 1.73903 0.17503
542e-9 1.74692 0.18072
543e-9 1.7551 0.18666
544e-9 1.76345 0.19299
545e-9 1.77189 0.19954
546e-9 1.78039 0.20664
547e-9 1.78884 0.21416
548e-9 1.79727 0.22202
549e-9 1.80548 0.2307
550e-9 1.81356 0.23978
551e-9 1.82142 0.24947
552e-9 1.82893 0.25999
553e-9 1.83624 0.27097
554e-9 1.8431 0.28291
555e-9 1.84958 0.2956
556e-9 1.8558 0.30881
557e-9 1.86133 0.32338
558e-9 1.86654 0.33857
559e-9 1.87131 0.35462
560e-9 1.87542 0.37195
561e-9 1.87921 0.38995
562e-9 1.88237 0.40924
563e-9 1.885 0.42965
564e-9 1.8873 0.45079
565e-9 1.88885 0.47365
566e-9 1.89012 0.49727
567e-9 1.89104 0.5218
568e-9 1.89154 0.54765
569e-9 1.89187 0.57407
570e-9 1.89193 0.60151
571e-9 1.89183 0.62978
572e-9 1.89164 0.65855
573e-9 1.89133 0.6883
574e-9 1.891 0.71851
575e-9 1.89066 0.7492
576e-9 1.89034 0.78059
577e-9 1.89007 0.81226
578e-9 1.88986 0.84437
579e-9 1.88977 0.87683
580e-9 1.88974 0.90947
581e-9 1.88988 0.94243
582e-9 1.89013 0.9755
583e-9 1.89047 1.00868
584e-9 1.89103 1.04195
585e-9 1.89167 1.07522
586e-9 1.89245 1.10848
587e-9 1.89339 1.14164
588e-9 1.89441 1.17473
589e-9 1.89559 1.20764
590e-9 1.89686 1.24037
591e-9 1.8982 1.27297
592e-9 1.89969 1.30517
593e-9 1.90125 1.33712
594e-9 1.90292 1.3687
595e-9 1.90478 1.39961
596e-9 1.90674 1.43014
597e-9 1.90891 1.45984
598e-9 1.91125 1.48878
599e-9 1.9137 1.5172
600e-9 1.91643 1.54425
601e-9 1.91928 1.5706
602e-9 1.92228 1.59608
603e-9 1.92551 1.62008
604e-9 1.92886 1.64333
605e-9 1.93239 1.66521
606e-9 1.9361 1.68575
607e-9 1.9399 1.70545
608e-9 1.94393 1.72322
609e-9 1.94808 1.73988
610e-9 1.95235 1.75542
611e-9 1.95683 1.76884
612e-9 1.96142 1.78126
613e-9 1.96616 1.79201
614e-9 1.97109 1.80091
615e-9 1.97613 1.80875
616e-9 1.9814 1.8143
617e-9 1.98682 1.81835
618e-9 1.99239 1.82114
619e-9 1.99827 1.82121
620e-9 2.00431 1.82008
621e-9 2.0106 1.81706
622e-9 2.01722 1.81171
623e-9 2.02405 1.80517
624e-9 2.0313 1.79641
625e-9 2.03891 1.78632
626e-9 2.04677 1.77532
627e-9 2.05529 1.76257
628e-9 2.06412 1.7493
629e-9 2.07338 1.73528
630e-9 2.08329 1.72058
631e-9 2.09353 1.70565
632e-9 2.10439 1.69045
633e-9 2.11578 1.67531
634e-9 2.1275 1.66022
635e-9 2.14 1.64562
636e-9 2.15286 1.63147
637e-9 2.16614 1.61781
638e-9 2.18007 1.60533
639e-9 2.19428 1.59351
640e-9 2.20896 1.58292
641e-9 2.22405 1.57378
642e-9 2.23938 1.56554
643e-9 2.25515 1.55944
644e-9 2.27113 1.55476
645e-9 2.28731 1.55137
646e-9 2.30379 1.55076
647e-9 2.32037 1.55147
648e-9 2.33711 1.55429
649e-9 2.35398 1.5597
650e-9 2.37091 1.56656
651e-9 2.38793 1.57642
652e-9 2.405 1.58847
653e-9 2.42211 1.6021
654e-9 2.43929 1.61958
655e-9 2.45649 1.63869
656e-9 2.47374 1.66017
657e-9 2.49106 1.6846
658e-9 2.50841 1.71035
659e-9 2.52582 1.73834
660e-9 2.54326 1.76772
661e-9 2.56073 1.79796
662e-9 2.57823 1.82966
663e-9 2.59573 1.8618
664e-9 2.61322 1.89443
665e-9 2.63067 1.92741
666e-9 2.64808 1.96041
667e-9 2.66541 1.99334
668e-9 2.68261 2.02589
669e-9 2.69973 2.05818
670e-9 2.71662 2.08961
671e-9 2.73333 2.12036
672e-9 2.74989 2.15048
673e-9 2.76605 2.17905
674e-9 2.78202 2.20683
675e-9 2.79766 2.23334
676e-9 2.81287 2.25813
677e-9 2.82782 2.28196
678e-9 2.84225 2.30371
679e-9 2.85625 2.32384
680e-9 2.86996 2.34283
681e-9 2.88289 2.35882
682e-9 2.89547 2.37349
683e-9 2.90757 2.38625
684e-9 2.91893 2.39616
685e-9 2.92991 2.40458
686e-9 2.94019 2.4102
687e-9 2.94985 2.41326
688e-9 2.95911 2.41469
689e-9 2.96746 2.41224
690e-9 2.97533 2.40768
691e-9 2.98269 2.40082
692e-9 2.98919 2.38981
693e-9 2.99529 2.3768
694e-9 3.00075 2.36039
695e-9 3.0056 2.34058
696e-9 3.01013 2.31887
697e-9 3.01405 2.29334
698e-9 3.01767 2.2656
699e-9 3.02103 2.236
