Vext Jext
-0.1 -8.77991
0 -8.73998
0.1 -8.68435
0.2 -8.64829
0.3 -8.65505
0.4 -8.59353
0.5 -8.55988
0.6 -8.55377
0.7 -8.46747
0.8 -8.39986
0.9 -8.24942
0.92 -8.25282
0.94 -8.14206
0.96 -8.1165
0.98 -8.0637
1 -7.89821
1.02 -7.71818
1.04 -7.4467
1.06 -7.14681
1.08 -6.68669
1.1 -6.09331
1.12 -5.27549
1.14 -4.24731
1.16 -3.02841
1.18 -1.46207
1.2 0.36279
1.22 2.7203
1.24 5.39814
1.26 8.79268
