Vext QFLS
1.26 1.23855
1.24 1.23143
1.22 1.22298
1.2 1.21357
1.18 1.20332
1.16 1.19279
1.14 1.18281
1.12 1.1738
1.1 1.16626
1.08 1.16133
1.06 1.15741
1.04 1.15485
1.02 1.15343
1 1.1521
0.98 1.15139
0.96 1.15054
0.94 1.15003
0.92 1.1496
0.9 1.14923
0.8 1.14774
0.7 1.14688
0.6 1.14648
0.5 1.14576
0.4 1.14528
0.3 1.14491
0.2 1.14436
0.1 1.14421
0 1.14384
-0.1 1.14364
