Vext QFLS
1.26 1.22663
1.24 1.21699
1.22 1.20576
1.2 1.19324
1.18 1.18028
1.16 1.16664
1.14 1.15394
1.12 1.14302
1.1 1.13387
1.08 1.12774
1.06 1.1235
1.04 1.12032
1.02 1.11851
1 1.11751
0.98 1.11675
0.96 1.11631
0.94 1.11577
0.92 1.11518
0.9 1.11547
0.8 1.11445
0.7 1.11258
0.6 1.11225
0.5 1.1118
0.4 1.1112
0.3 1.11078
0.2 1.11056
0.1 1.11003
0 1.10984
-0.1 1.10892
