Vext Jext
-0.1 -5.29671
0 -5.27375
0.1 -5.24786
0.2 -5.23877
0.3 -5.23062
0.4 -5.19735
0.5 -5.16627
0.6 -5.17326
0.7 -5.14817
0.8 -5.03251
0.9 -4.97083
0.92 -4.95042
0.94 -4.91522
0.96 -4.87716
0.98 -4.75217
1 -4.68127
1.02 -4.53777
1.04 -4.3534
1.06 -4.05953
1.08 -3.69507
1.1 -3.1717
1.12 -2.49006
1.14 -1.59219
1.16 -0.50004
1.18 0.85683
1.2 2.6013
1.22 4.51158
1.24 7.04727
1.26 10.20922
