Vext Jext
-0.1 -14.04742
0 -14.03583
0.1 -13.91643
0.2 -13.91841
0.3 -13.85137
0.4 -13.7907
0.5 -13.73921
0.6 -13.70713
0.7 -13.6135
0.8 -13.45809
0.9 -13.23146
0.92 -13.2441
0.94 -13.13738
0.96 -13.0543
0.98 -12.96018
1 -12.74437
1.02 -12.58856
1.04 -12.24606
1.06 -11.79613
1.08 -11.21753
1.1 -10.47403
1.12 -9.44877
1.14 -8.19456
1.16 -6.72599
1.18 -4.92387
1.2 -2.75096
1.22 -0.15447
1.24 3.13156
1.26 6.72866
