Vext QFLS
1.26 1.23138
1.24 1.22292
1.22 1.21298
1.2 1.20188
1.18 1.19022
1.16 1.17832
1.14 1.16731
1.12 1.15781
1.1 1.15017
1.08 1.14442
1.06 1.14086
1.04 1.13834
1.02 1.137
1 1.13576
0.98 1.13506
0.96 1.13436
0.94 1.13402
0.92 1.13349
0.9 1.13368
0.8 1.13209
0.7 1.13144
0.6 1.13064
0.5 1.13015
0.4 1.12982
0.3 1.12943
0.2 1.12877
0.1 1.12835
0 1.12793
-0.1 1.12745
